#{"t_start": 1587172621.9728532, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
10.322398,15,0.552542
12.133442,11,0.595193
14.88716,16,0.740966
16.785251,18,0.801577
12.365728,20,0.883448
10.633311,9,0.919909
8.993247,7,0.940523
12.410608,14,0.980139
9.579117,7,0.998993
12.848464,11,1.033856
12.399579,8,1.056614
14.635775,13,1.090556
15.468642,18,1.144806
13.834577,16,1.185911
16.991281,17,1.231979
12.435153,13,1.266954
16.470371,14,1.305458
10.556627,11,1.334482
11.196803,8,1.355561
11.839732,7,1.374457
9.998394,8,1.399957
11.976768,10,1.429446
13.484421,13,1.464333
13.960633,13,1.502094
13.113741,10,1.528933
9.90451,7,1.547708
12.39383,9,1.571888
11.454139,20,1.624939
13.371006,10,1.652759
14.809357,13,1.687887
10.610848,7,1.706416
13.447929,22,1.766886
13.888145,9,1.790772
11.833001,15,1.832819
15.257378,18,1.880866
10.535367,7,1.900095
12.249655,13,1.936106
14.230667,19,1.986122
15.216888,17,2.033455
11.226008,8,2.054905
10.451517,8,2.076499
17.137613,17,2.129112
13.73658,9,2.153309
10.543356,9,2.177433
11.723767,8,2.199509
17.359892,18,2.24619
17.043373,22,2.310899
19.037155,21,2.367887
12.752304,13,2.402598
13.010034,11,2.43244
11.781583,14,2.471363
10.365832,8,2.492255
15.003129,13,2.527153
8.635498,6,2.549924
13.776715,14,2.587348
14.126862,14,2.632131
16.677743,15,2.672578
16.907372,17,2.719396
10.414877,8,2.740856
12.923683,11,2.770375
14.498541,15,2.811864
11.093375,10,2.838944
14.242773,11,2.870088
9.973428,9,2.902311
13.092235,9,2.997607
11.797849,9,3.022187
12.091027,16,3.065113
13.724534,10,3.091598
14.984438,17,3.136258
10.993652,8,3.159651
11.416798,9,3.182906
14.062257,11,3.212639
11.26282,11,3.24306
12.713028,10,3.269183
16.68682,14,3.30633
10.495061,8,3.328775
12.46051,11,3.358455
13.498825,11,3.388481
17.650981,20,3.442931
14.648244,15,3.482673
13.618393,14,3.527212
15.74683,13,3.560416
12.269526,10,3.586885
16.341307,16,3.628979
18.355821,20,3.68132
10.155863,7,3.699725
16.62361,13,3.733611
10.94181,8,3.760508
14.821525,16,3.802233
20.295676,19,3.85123
11.45753,8,3.872359
11.65313,12,3.903846
13.181362,14,3.942266
12.440202,10,3.968978
14.324331,10,3.996192
19.426153,22,4.059512
15.340692,14,4.097543
14.619114,15,4.135848
12.209272,9,4.159277
11.424205,8,4.1816
17.178083,22,4.239669
17.114501,18,4.288021
9.711906,6,4.303273
17.7408,19,4.353801
14.011538,15,4.393239
12.479481,8,4.414442
12.17798,15,4.454576
15.6871,13,4.494385
16.030209,17,4.540479
16.316408,22,4.598193
16.482548,15,4.644266
13.819969,16,4.685771
11.227528,10,4.717031
17.26152,17,4.761981
10.942592,8,4.783586
13.952613,13,4.820584
10.397636,7,4.838799
15.757699,12,4.871367
14.154988,27,4.946502
12.621604,8,4.967873
10.389593,8,4.988907
11.269075,9,5.012277
14.616482,16,5.05477
17.282947,19,5.105054
12.156173,11,5.134952
14.375553,14,5.179239
11.380392,7,5.197684
9.733207,7,5.216747
11.832856,11,5.255007
11.748166,11,5.283907
11.395692,8,5.304342
10.499685,9,5.335018
12.089436,10,5.362022
12.979131,10,5.38774
14.313354,15,5.428498
11.878245,11,5.45707
12.651929,12,5.488688
13.170565,11,5.524818
12.659914,12,5.55692
9.782762,9,5.580612
9.919301,6,5.598828
10.974307,10,5.625242
14.377073,14,5.66251
11.61424,11,5.693621
17.459564,19,5.743618
13.381265,10,5.771357
14.975677,12,5.802779
13.416675,12,5.833958
10.676706,9,5.859248
11.835433,10,5.886256
11.513856,9,5.909926
14.668545,10,5.938213
13.807327,13,5.972401
12.2892,12,6.008449
20.235026,22,6.068687
18.154292,18,6.116048
18.367508,22,6.18017
14.054545,19,6.232201
23.134335,32,6.318058
11.2104,7,6.336872
13.364301,15,6.379014
14.464142,15,6.423351
10.132997,11,6.451573
11.90479,12,6.484626
12.618138,8,6.506155
11.927177,13,6.5416
11.596087,11,6.57226
11.61081,12,6.604132
13.271868,12,6.635612
11.32636,8,6.659026
13.765914,10,6.685371
11.470283,8,6.707072
10.182022,13,6.750085
14.830032,12,6.783262
15.620662,16,6.828158
18.663161,17,6.875217
13.759932,12,6.907506
16.099979,15,6.949606
20.556982,20,7.005552
12.070689,8,7.026718
8.923155,8,7.04898
16.974338,17,7.096659
15.969812,19,7.147255
13.544401,11,7.1782
11.090819,8,7.19989
12.559222,23,7.262655
12.870627,13,7.299505
14.218605,16,7.342531
14.748334,18,7.394068
19.076742,19,7.44444
12.829477,11,7.473545
11.508272,10,7.500231
18.310838,17,7.554387
16.233155,18,7.601763
11.697472,9,7.626426
10.367727,9,7.854144
11.528143,9,7.877666
12.47352,12,7.910776
10.531058,11,7.940624
17.956825,15,7.979407
18.356268,22,8.038261
14.172699,13,8.072077
14.060616,15,8.120139
19.131609,20,8.174866
10.711652,7,8.193327
11.38641,10,8.221775
15.652529,21,8.279493
10.989989,7,8.298734
10.161295,7,8.317388
10.758713,10,8.344341
18.822408,20,8.399563
16.126599,15,8.441459
15.252614,14,8.479044
13.305575,14,8.516784
11.373804,8,8.539519
15.130998,12,8.571147
12.015899,10,8.598185
15.337978,16,8.642302
14.430734,13,8.67716
13.63606,16,8.721624
12.073794,9,8.746933
13.395392,12,8.786716
12.873712,11,8.824228
16.989948,18,8.869678
12.701926,10,8.897439
11.627304,9,8.921195
13.128779,16,8.968857
11.305088,11,9.000003
8.746485,6,9.015624
13.437644,16,9.058953
14.732268,12,9.092695
9.238879,7,9.111896
15.539257,17,9.15927
20.879235,23,9.221005
12.509133,9,9.247027
9.819093,7,9.266068
10.661279,10,9.293021
10.80363,7,9.312246
9.935054,8,9.335466
11.268501,8,9.356857
11.648627,10,9.383547
10.260571,7,9.402821
14.649053,12,9.43647
14.378087,19,9.487774
12.98184,9,9.518238
13.377381,11,9.547211
11.066751,11,9.57643
13.753914,15,9.622592
15.927875,16,9.665664
12.969799,13,9.701583
11.489183,8,9.727602
12.72405,23,9.795097
12.806244,10,9.820557
18.968923,22,9.8804
12.120218,9,9.904107
13.657323,11,9.934999
14.594163,16,9.978666
15.562126,23,10.039597
13.604787,14,10.077403
11.675548,6,10.093085
10.427424,8,10.114595
12.241504,9,10.139265
12.188964,9,10.163498
11.176565,13,10.199034
10.287764,16,10.242656
13.004809,12,10.274668
16.825221,20,10.329726
16.85901,17,10.376528
15.919646,14,10.416804
15.574231,14,10.454566
12.133468,8,10.476324
14.50446,18,10.531955
10.251877,14,10.57033
17.701384,19,10.622486
14.278432,16,10.667989
9.645006,9,10.692835
11.780748,11,10.722871
13.641308,11,10.754155
11.179982,7,10.773185
15.346126,17,10.821861
11.874617,8,10.847591
10.422106,16,10.889232
15.544673,17,10.935098
12.196918,11,10.963706
12.803021,10,10.990404
15.629131,14,11.029193
11.92961,12,11.066479
15.35698,12,11.097772
10.806246,7,11.11823
12.946244,11,11.147268
11.070651,10,11.173559
9.86109,9,11.2034
13.136788,19,11.253023
13.921514,16,11.297782
13.821212,12,11.330884
11.52005,11,11.360721
9.983597,7,11.380865
14.34158,12,11.412809
14.209319,20,11.468458
11.77225,12,11.501418
10.670059,9,11.526165
12.624778,17,11.581519
11.871584,8,11.603086
11.357553,7,11.621486
13.39092,13,11.659578
9.957916,16,11.701599
14.241762,14,11.739933
15.389641,16,11.783045
11.936811,8,11.804332
14.620269,21,11.865493
14.968468,13,11.899073
18.177716,15,11.945566
11.551272,10,11.972192
11.3663,8,11.998117
13.184775,9,12.023845
11.062289,18,12.071421
11.511079,10,12.105033
15.976779,16,12.148601
11.914239,11,12.178152
14.825986,16,12.222873
11.862434,13,12.257772
14.041666,13,12.294341
14.845933,16,12.337784
15.090767,17,12.386122
11.258864,8,12.408279
16.699267,17,12.459952
9.926516,10,12.485701
16.374486,19,12.537582
14.796216,12,12.576443
13.045749,16,12.618852
11.682456,10,12.646464
12.73634,9,12.670754
11.742422,9,12.694674
16.20018,19,12.745621
11.705502,10,12.772316
10.577323,10,12.798832
14.803979,13,12.835014
13.793674,12,12.866673
11.315988,10,12.895066
12.530613,16,12.936298
11.154513,10,12.962962
11.769038,8,12.985938
14.912388,15,13.025892
12.962953,12,13.05855
10.62613,6,13.076428
11.728664,19,13.127049
12.067219,14,13.166122
13.6707,12,13.199043
12.62128,9,13.223484
11.077975,8,13.246104
10.950865,13,13.285683
17.072863,18,13.335866
14.634255,17,13.381713
11.156121,9,13.406207
12.816042,16,13.450039
11.445001,8,13.471273
13.288451,14,13.511338
11.406238,11,13.541043
18.280677,20,13.595938
8.660207,8,13.617398
12.170554,7,13.636243
14.914245,16,13.678233
14.241384,18,13.726899
11.768807,8,13.748153
12.632569,11,13.778827
12.663733,12,13.811242
13.476653,13,13.84619
15.637912,16,13.889508
10.94522,13,13.924582
14.118339,12,13.957676
12.944668,11,13.987675
13.18336,11,14.016425
15.293037,14,14.055351
8.210851,8,14.076085
13.361639,11,14.105767
13.498836,9,14.13193
13.892045,13,14.16782
11.986215,9,14.191996
12.874564,9,14.217762
14.879471,19,14.269124
16.023429,15,14.311097
16.438874,16,14.353058
13.49994,16,14.3977
11.05294,6,14.413452
15.568943,17,14.459097
12.761375,10,14.487435
11.342332,12,14.519063
16.892772,20,14.573005
17.021162,20,14.625803
11.267132,9,14.650887
12.465314,10,14.677136
12.683851,12,14.708495
11.499143,8,14.73151
16.743288,15,14.975184
14.672306,13,15.008847
11.204445,9,15.033622
11.459787,10,15.059519
17.046416,20,15.113208
12.281273,9,15.137051
13.523061,9,15.161661
11.733505,8,15.184067
21.375014,30,15.264364
11.379427,13,15.301058
15.330479,20,15.354251
12.845002,10,15.382784
9.431298,7,15.40138
17.416844,17,15.449282
10.581019,10,15.476369
13.767547,18,15.525574
15.251211,14,15.571133
11.06577,9,15.595484
18.582906,17,15.641736
22.17763,23,15.703523
13.50257,13,15.739866
12.517422,12,15.772304
15.077226,16,15.818203
8.887012,6,15.839433
12.43709,11,15.869794
11.488168,7,15.889474
12.7685,11,15.919686
10.881526,7,15.939161
13.058148,15,15.979135
9.842857,7,16.00042
12.298435,12,16.033515
10.165518,13,16.069231
12.836307,13,16.10643
15.338373,18,16.156084
12.521256,9,16.181461
14.956223,13,16.216895
19.685449,25,16.286228
14.776935,12,16.319179
12.598883,10,16.352853
14.442359,11,16.381926
13.901618,12,16.418854
12.213359,10,16.446232
11.172384,13,16.480436
13.003205,10,16.507224
12.761805,14,16.546486
13.914212,18,16.594945
16.59981,16,16.639033
10.452376,10,16.666746
12.935186,9,16.691721
11.396062,7,16.712018
13.464072,18,16.759943
16.489547,22,16.820095
12.395616,9,16.844689
12.314344,8,16.865976
12.952878,10,16.894078
11.444429,9,16.917968
11.378452,9,16.941691
11.877411,12,16.975646
11.859642,12,17.007303
14.592373,14,17.044477
11.004923,12,17.078273
15.719316,21,17.135654
11.801236,10,17.162794
11.469803,7,17.181695
13.655248,11,17.211246
11.52048,10,17.239195
11.350091,8,17.261374
12.205269,8,17.283192
20.527197,18,17.332236
11.014331,12,17.364726
12.159191,14,17.403042
13.990653,17,17.448228
10.991806,8,17.470053
13.675621,21,17.5272
21.585346,27,17.599689
10.728995,8,17.621438
10.02596,10,17.648489
11.963504,10,17.677224
13.325915,10,17.704173
11.586401,15,17.745754
13.226653,12,17.778897
11.479111,9,17.802717
10.322627,8,17.8238
12.60927,11,17.855243
11.483584,15,17.894807
11.890738,8,17.916381
19.456612,23,17.979301
11.462578,9,18.002718
11.337536,10,18.031638
10.888844,9,18.055838
11.812943,13,18.090654
18.563168,19,18.142919
10.718512,7,18.16144
12.61042,14,18.200109
9.414634,8,18.222589
11.40804,9,18.246624
16.453431,14,18.285478
11.639678,18,18.333541
13.278302,13,18.369517
15.5196,17,18.41566
11.746412,10,18.444021
18.146747,24,18.508699
10.968683,9,18.534857
12.50651,11,18.56484
11.232883,7,18.58354
11.480584,8,18.605133
