#{"t_start": 1587172621.9718344, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
16.48584,16,0.557115
12.248901,11,0.600266
14.730872,13,0.735852
10.975763,10,0.768427
12.2819,14,0.812732
13.605873,11,0.863435
12.436745,13,0.917415
11.126769,8,0.940555
12.30798,12,0.975099
12.330927,17,1.021372
11.068389,11,1.056755
23.714228,28,1.135899
13.130821,11,1.165792
14.194977,20,1.219032
12.537208,12,1.251367
8.838111,7,1.270391
12.032534,8,1.291564
13.161746,8,1.314423
15.2975,18,1.361465
14.079772,16,1.411711
12.67772,17,1.456013
12.188007,11,1.489377
14.751052,12,1.52093
11.603541,9,1.544989
9.726426,14,1.583131
12.14128,8,1.604147
13.13805,12,1.636164
12.796594,12,1.66954
10.887455,7,1.687983
12.233067,9,1.712411
14.367249,12,1.746135
10.356268,9,1.770236
12.456901,16,1.812936
13.492944,13,1.848919
15.54501,11,1.878426
10.983603,6,1.894657
13.665767,13,1.931115
17.740511,17,1.975975
8.746807,7,1.995292
15.07285,17,2.041998
13.783781,11,2.071459
10.798501,6,2.092866
23.023801,28,2.169451
11.781068,9,2.194284
15.297625,15,2.2335
15.958745,16,2.277508
11.773684,9,2.305634
11.451094,10,2.331868
13.594843,9,2.356876
19.56111,30,2.438506
10.917941,7,2.458791
12.772157,17,2.503079
10.565391,7,2.522166
11.457187,9,2.553656
14.296362,15,2.596263
11.230427,9,2.623036
11.94534,10,2.65123
21.42461,25,2.719491
15.529917,17,2.765329
17.48505,20,2.820377
13.552686,12,2.853297
12.160857,17,2.910502
11.466701,10,3.006437
16.41331,14,3.042997
16.410614,17,3.088836
14.934358,15,3.128904
13.941484,9,3.15425
19.303568,20,3.207593
9.720896,10,3.235729
11.243284,13,3.269289
11.157647,8,3.290597
18.517607,24,3.356047
10.870574,9,3.380561
14.173764,14,3.419166
13.052066,9,3.443036
11.316509,13,3.477404
13.255884,13,3.51967
14.663966,20,3.570883
13.303991,10,3.598087
13.270486,18,3.64485
16.787468,23,3.705501
15.844193,14,3.742405
10.65703,11,3.776961
10.748401,7,3.794654
23.439531,32,3.878334
13.467043,10,3.903988
15.959196,18,3.953173
11.779123,7,3.972407
13.171517,11,4.002107
14.429754,12,4.039623
10.980822,18,4.086091
13.725224,10,4.113234
11.824245,15,4.151553
13.318802,12,4.185021
10.368694,9,4.208765
10.697701,8,4.229356
10.899844,12,4.260692
9.843191,6,4.277771
12.091334,11,4.306634
14.53738,13,4.34022
11.060636,7,4.360091
20.26646,23,4.420242
12.513259,10,4.447022
11.204439,8,4.468179
14.629138,11,4.503014
10.170152,7,4.521649
13.383681,10,4.549021
10.773804,8,4.569992
16.417427,19,4.626641
23.282473,26,4.69408
16.508774,16,4.741132
12.544512,10,4.768118
15.483416,16,4.812459
14.988358,16,4.855392
11.483163,9,4.88212
14.305688,12,4.915436
13.439408,11,4.944106
16.002218,21,4.999635
9.063495,5,5.012391
10.780736,13,5.045944
10.811451,11,5.076584
12.512994,11,5.105102
14.51143,13,5.14526
9.799742,7,5.166795
13.404379,16,5.208937
11.652057,9,5.236618
17.041041,16,5.284028
13.564411,14,5.320152
13.142807,12,5.358823
11.932279,10,5.385342
10.621533,10,5.411897
16.750836,21,5.468296
13.04372,10,5.49494
12.318974,12,5.533602
14.401101,19,5.584058
12.844564,10,5.612372
11.602328,8,5.633565
9.136219,6,5.649614
11.526193,9,5.674299
13.565186,11,5.70459
15.158876,13,5.73861
13.367847,13,5.774776
12.908629,15,5.813739
16.481729,22,5.873194
13.026049,9,5.897449
13.689449,11,5.926469
19.668574,22,5.986158
12.257607,9,6.016258
14.162862,14,6.053581
16.587772,17,6.097265
12.660837,17,6.143063
10.889147,16,6.192552
13.498177,10,6.219595
14.810831,15,6.259554
15.582659,15,6.299618
15.717286,21,6.355854
11.41962,16,6.405107
11.438218,9,6.429195
11.592472,13,6.46234
11.583766,8,6.484727
15.372686,13,6.520153
10.587209,6,6.536534
14.445819,11,6.567292
11.764098,9,6.59112
11.865551,11,6.620065
12.707996,11,6.650873
11.606402,8,6.672761
15.021724,20,6.726407
16.031665,16,6.77776
19.696214,22,6.839777
16.571004,13,6.875301
13.470115,11,6.904983
16.400442,14,6.944521
13.702587,9,6.968895
12.937358,12,7.002942
14.782722,11,7.033243
9.712083,11,7.063223
12.440606,9,7.087662
11.515928,13,7.123689
18.660114,21,7.181707
10.610434,8,7.203388
8.084021,9,7.227552
13.958465,9,7.251464
15.490425,15,7.294298
15.690865,16,7.337537
12.227409,9,7.366113
11.274746,9,7.389262
18.189165,20,7.442088
11.087884,6,7.458138
10.627051,8,7.479571
16.475195,16,7.521772
8.351476,6,7.545177
17.158847,19,7.5968
13.740447,14,7.83909
12.282708,14,7.87529
17.864542,19,7.92719
15.935227,22,7.985161
13.767765,12,8.017324
16.506681,18,8.064359
13.327843,8,8.092555
10.303324,12,8.126341
13.633159,18,8.174998
14.511089,15,8.21618
12.613717,9,8.241042
13.446935,14,8.279621
11.510298,9,8.30477
14.405961,13,8.338972
16.074448,20,8.394385
12.069282,11,8.42491
11.29333,9,8.450299
9.66205,9,8.473672
15.958179,19,8.526773
14.565569,27,8.598286
12.502958,9,8.623822
13.143699,18,8.672286
10.355781,7,8.691233
11.874561,9,8.71664
13.898202,12,8.752484
13.326918,10,8.784315
8.121838,8,8.814025
13.964007,14,8.849838
16.611366,14,8.88724
10.494296,8,8.90818
9.011839,12,8.945444
13.213414,9,8.968972
11.553724,9,8.994685
13.348197,12,9.026899
13.385284,9,9.051484
11.780326,15,9.092768
11.855279,10,9.120599
15.189629,17,9.168236
13.945736,13,9.20285
9.187048,14,9.241711
12.265397,11,9.272046
10.615463,7,9.290538
13.252782,14,9.33002
10.692991,8,9.351688
10.075034,14,9.389514
11.913789,10,9.418251
13.168925,11,9.447987
11.940911,15,9.487831
14.993826,16,9.537432
12.88768,9,9.561047
11.381166,12,9.597923
11.949698,7,9.617669
14.524819,14,9.655267
11.404987,7,9.674202
13.160654,10,9.701697
12.378978,15,9.746248
9.456671,9,9.770332
12.89906,13,9.810891
11.898144,10,9.836705
11.27121,9,9.860688
11.710553,14,9.899107
13.382303,10,9.926519
9.588889,15,9.968599
10.522859,7,9.987294
12.024024,16,10.028961
16.286482,15,10.070212
11.804643,14,10.106408
14.296717,14,10.145241
12.084968,9,10.169802
9.089928,8,10.191305
10.892715,9,10.216974
13.490513,17,10.261624
13.553533,15,10.303116
11.545872,10,10.329798
14.800132,10,10.357483
10.432575,8,10.380015
13.77271,12,10.414255
10.884929,10,10.441155
12.418258,9,10.466145
16.21804,15,10.514323
12.947633,14,10.551929
13.843136,16,10.596072
13.723027,16,10.639253
12.077549,9,10.665097
10.895882,8,10.687419
12.649636,11,10.716982
11.732468,8,10.739292
11.784199,10,10.768158
9.953209,9,10.792253
12.162359,8,10.813721
13.562925,10,10.847724
15.284481,13,10.881891
14.660872,19,10.932656
13.850738,12,10.963827
15.974532,15,11.003937
11.855695,7,11.023838
12.032257,9,11.048449
10.149016,8,11.07519
11.497376,10,11.101121
10.90969,8,11.124135
12.068786,8,11.144914
11.386716,10,11.171112
12.451596,16,11.219081
13.371039,18,11.267326
10.825579,15,11.309057
11.18616,8,11.330935
13.545649,10,11.358254
12.324459,10,11.386826
13.656922,12,11.419227
12.588654,13,11.453935
19.918563,21,11.512994
11.432855,8,11.53476
11.228068,10,11.563283
12.553567,9,11.594923
15.547226,12,11.627488
12.200778,14,11.668438
13.444687,10,11.693805
11.779458,12,11.725826
12.793003,13,11.761933
16.21113,18,11.810262
8.886448,6,11.831461
14.919668,13,11.865551
16.299723,19,11.922141
12.221798,10,11.948928
17.652482,21,12.010802
11.408313,8,12.032409
14.964706,16,12.074866
11.48413,12,12.113676
12.941454,13,12.148705
11.169166,9,12.173136
10.236085,7,12.193744
11.614182,7,12.212233
11.76902,9,12.236724
14.427059,14,12.275863
12.755792,13,12.31105
14.154219,12,12.34392
15.155873,13,12.380588
10.104926,8,12.402732
12.825873,14,12.440705
12.825622,18,12.494552
14.581186,20,12.554968
12.188177,8,12.576548
12.422485,11,12.606133
13.781741,17,12.652427
12.277572,7,12.670877
12.316467,8,12.692251
10.664262,7,12.711175
14.60946,16,12.754472
13.749638,11,12.783318
14.414111,19,12.835112
9.124424,9,12.859128
15.389359,14,12.898448
14.702467,15,12.936395
12.41723,13,12.971489
15.796333,15,13.012859
10.949513,7,13.031876
11.365224,8,13.053375
15.330594,17,13.100771
12.157194,9,13.12457
9.965352,8,13.146127
12.110813,8,13.169552
9.938826,8,13.190871
11.126218,11,13.220995
12.838765,14,13.26338
15.572039,14,13.30231
11.196078,9,13.326585
10.98555,9,13.352216
10.405222,11,13.381802
16.771323,17,13.429347
15.097524,17,13.474787
10.683888,12,13.508889
13.104602,11,13.538244
12.967958,9,13.562967
16.981445,26,13.633787
9.542718,12,13.665539
11.18693,8,13.688073
12.248515,10,13.714527
19.588632,23,13.776299
12.647529,9,13.800677
12.048079,10,13.82798
12.733408,15,13.86869
12.838101,10,13.89591
8.561269,9,13.919698
11.073878,8,13.942302
