#{"t_start": 1587172621.9747312, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
13.231702,10,0.530484
13.305471,8,0.564709
16.079248,17,0.720428
11.755347,7,0.740555
11.860096,11,0.779321
12.509341,15,0.831816
14.271257,11,0.879041
13.53601,11,0.922174
11.172418,15,0.965805
16.396531,16,1.009368
15.534922,17,1.061064
14.016009,10,1.086781
11.232153,8,1.108216
15.330942,22,1.172295
11.71201,15,1.212337
13.778803,12,1.244446
9.636253,10,1.272004
12.644896,13,1.307635
23.4262,28,1.381519
11.910722,13,1.423312
11.45733,9,1.446528
13.783944,13,1.485171
12.84848,8,1.506719
14.955738,14,1.544073
13.313058,12,1.576457
10.363626,11,1.605766
13.621986,10,1.63193
12.291666,11,1.66284
12.560833,9,1.687446
13.11778,10,1.713972
13.910198,10,1.741891
10.399632,7,1.760595
15.043218,12,1.793304
14.914345,13,1.829059
16.35501,15,1.868727
14.64331,11,1.899674
16.18013,21,1.956604
12.640363,13,1.990862
14.592885,12,2.024563
14.499711,14,2.062142
11.346766,10,2.096266
12.34142,11,2.12533
13.997629,18,2.17369
10.870298,7,2.193371
13.640426,12,2.224473
14.384213,14,2.260752
13.677531,15,2.307182
14.941508,14,2.343788
10.424957,7,2.364095
15.136043,12,2.396188
14.851488,12,2.428634
12.259795,16,2.473358
15.502705,16,2.515419
13.424688,12,2.555057
13.324722,16,2.60323
13.901267,12,2.636754
13.711536,14,2.674786
18.648559,18,2.724138
10.364385,10,2.750705
10.108204,8,2.772639
12.00858,11,2.802973
18.452902,20,2.857528
11.179045,11,2.891347
9.184423,7,2.986229
13.220352,11,3.015564
12.06294,14,3.052074
12.862367,17,3.098726
16.304726,19,3.150014
17.536438,19,3.200775
10.493861,8,3.222735
12.545628,11,3.252763
14.109212,14,3.289707
17.398675,18,3.33901
12.778122,11,3.36854
11.104684,14,3.407327
11.219406,7,3.426191
8.312926,6,3.442445
20.091272,22,3.507978
11.251419,9,3.531494
16.935609,17,3.574766
14.149553,16,3.61736
16.163037,18,3.665178
9.801495,6,3.680886
12.888627,11,3.709397
12.451505,10,3.735678
11.916668,9,3.764997
16.016236,23,3.824129
11.199511,11,3.853282
13.641653,14,3.889858
15.714301,17,3.935953
13.947139,9,3.960012
12.31825,11,3.989776
11.957963,9,4.020072
15.524268,18,4.066491
12.116564,8,4.087768
20.979008,24,4.150584
11.675574,9,4.174165
11.201708,9,4.199617
6.658693,13,4.23349
13.290805,11,4.262329
11.017937,7,4.281843
12.302091,11,4.310734
13.351857,13,4.344059
15.669394,11,4.374692
13.180505,8,4.395363
15.498376,15,4.435455
14.763127,20,4.493932
12.316968,9,4.51745
16.289882,18,4.565811
11.493088,9,4.58944
12.587455,9,4.619318
13.025512,12,4.651218
12.976179,10,4.677207
11.144394,7,4.696029
16.12781,17,4.745327
16.286439,22,4.805624
11.088962,16,4.848736
10.889824,9,4.873458
13.099087,9,4.901275
18.426406,26,4.969953
14.910611,20,5.021952
18.432676,17,5.06733
11.974503,16,5.109956
11.5088,7,5.128274
11.43538,10,5.162568
12.964902,17,5.208027
11.312011,9,5.237685
12.201196,9,5.264628
13.417035,17,5.308707
11.929412,9,5.339499
11.572619,7,5.358289
12.591641,11,5.387267
11.308302,11,5.417098
10.900522,12,5.448309
14.140076,11,5.477385
11.204413,8,5.502565
11.373518,9,5.529375
12.164945,10,5.556475
13.641931,12,5.588296
17.198609,19,5.640298
10.299468,10,5.667155
9.665679,7,5.687387
31.087006,34,5.778861
15.149917,20,5.830308
13.440007,9,5.855445
15.83396,22,5.914669
15.0285,13,5.950661
10.354794,8,5.971987
15.788278,16,6.020238
10.784956,6,6.037125
