#{"t_start": 1587177564.618409, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
11.74697,10,0.92468
12.697529,13,0.93554
13.176982,13,0.946574
12.576821,11,0.955807
12.391972,16,0.969008
11.753266,16,0.981993
11.565133,20,0.998438
13.508241,21,1.015759
22.502859,26,1.037269
13.117999,10,1.045565
14.869775,13,1.056374
14.330789,18,1.070913
15.133337,10,1.079353
10.813959,10,1.087793
11.388148,7,1.093794
10.303156,13,1.104514
15.355835,15,1.11696
17.390426,17,1.130991
20.56317,25,1.151513
11.601278,13,1.162207
11.598288,17,1.176016
8.324373,8,1.182717
17.764356,20,1.199054
11.331861,10,1.207477
13.684391,10,1.215893
9.387645,8,1.222728
15.550744,16,1.236501
12.394891,10,1.245251
10.537379,8,1.252468
12.840356,15,1.265371
13.421785,11,1.274335
13.584757,10,1.282544
12.626923,10,1.290843
11.374495,16,1.303967
13.561301,14,1.315358
11.438758,14,1.326539
16.623073,22,1.344175
15.041553,14,1.355711
17.30122,20,1.371655
10.766121,10,1.379833
11.09818,9,1.387301
9.646243,7,1.393226
9.87985,6,1.398326
16.28857,21,1.415297
11.995348,12,1.425079
12.655872,8,1.431852
8.999703,6,1.436978
11.586694,14,1.448389
14.706385,15,1.460421
14.259173,12,1.470389
16.486815,15,1.482741
27.893816,36,1.511319
14.958282,13,1.522076
16.605965,19,1.537846
12.301786,11,1.546887
14.829044,13,1.557494
17.360594,17,1.571417
18.443963,20,1.58752
12.703394,13,1.598112
12.758783,8,1.604865
13.442841,12,1.614993
12.177181,12,1.625105
14.722285,14,1.636321
14.327484,18,1.650815
13.437261,11,1.660028
12.435435,15,1.672245
9.066256,6,1.67739
11.276527,9,1.684947
10.642642,13,1.695288
11.902667,10,1.703565
13.232051,13,1.714293
10.973979,7,1.720158
11.573946,9,1.727667
14.083633,19,1.742961
10.763704,9,1.750398
11.919464,9,1.757959
12.814954,14,1.769092
10.352011,6,1.774161
10.839892,8,1.780913
23.368316,30,1.805075
15.466448,19,1.820391
11.872061,9,1.82779
13.83242,12,1.837673
9.899981,11,1.846639
10.55977,8,1.85325
11.474195,7,1.859111
10.272411,7,1.864977
13.770285,15,1.877206
14.155494,10,1.88553
10.560227,15,1.897547
12.405289,11,1.906611
12.692956,15,1.918655
