#{"t_start": 1587174851.4056828, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
15.943209,25,0.759756
11.437391,7,0.78986
10.099144,7,0.823457
15.723966,15,0.87325
18.342037,25,0.95924
12.19306,14,1.012444
12.398124,9,1.04514
9.01969,13,1.080847
14.237437,14,1.118226
11.151246,8,1.140214
11.322262,8,1.162159
13.288008,14,1.199741
10.650131,9,1.229719
11.191966,8,1.251002
11.901828,10,1.277617
9.709479,7,1.296207
12.177464,9,1.320502
12.123817,10,1.346817
13.024569,9,1.370795
10.678463,7,1.389747
23.923692,24,1.454531
15.407799,14,1.491962
16.443914,19,1.543048
23.412616,32,1.628288
23.65685,30,1.708212
10.392664,6,1.724459
9.988732,8,1.745729
25.29377,37,1.844559
11.447643,11,1.874056
12.231703,8,1.895729
13.164947,18,1.942814
13.137243,10,1.970175
12.341505,8,1.992127
11.451483,12,2.023982
16.003406,14,2.062109
11.917643,14,2.099841
13.522532,15,2.139513
12.081187,10,2.166909
12.628613,12,2.19941
11.413464,11,2.228738
10.230198,14,2.265965
17.852046,20,2.319451
11.318027,9,2.343713
9.130344,12,2.375473
11.744398,11,2.405351
13.87983,11,2.436243
17.480919,23,2.497798
16.17327,13,2.532631
12.764793,12,2.564937
9.742392,9,2.589071
14.475051,15,2.629546
15.7573,16,2.672238
11.463484,8,2.693819
11.703365,8,2.715109
13.516383,11,2.744989
13.987824,12,2.77766
12.569632,10,2.80438
13.670372,16,2.848144
7.706711,14,2.884895
10.827364,7,2.903646
10.85244,10,2.93082
12.830097,8,2.952604
13.181298,12,2.984702
12.917457,9,3.009233
10.545623,15,3.048571
11.462734,10,3.075345
13.023391,18,3.124321
13.536545,12,3.15637
11.103532,15,3.196476
11.01852,7,3.215816
13.220988,9,3.239405
25.114182,30,3.319877
14.449055,13,3.355133
11.210399,9,3.379604
14.508752,18,3.42784
14.560746,13,3.462386
13.127936,9,3.486234
16.356042,18,4.491365
15.98744,19,4.558894
14.004228,12,4.591257
13.989507,14,4.629092
12.863201,14,4.666538
16.690572,18,4.715117
14.348285,10,4.742035
10.242168,13,4.776464
12.744886,8,4.798774
12.212194,9,4.823365
18.861351,18,4.871594
11.672278,9,4.895916
13.493358,12,4.927704
10.890026,9,4.952663
16.772259,17,4.998613
10.553306,8,5.020177
14.266014,13,5.055156
12.338213,11,5.08465
12.083416,9,5.108663
21.847283,40,5.216049
10.471123,10,5.242554
11.861806,9,5.267351
12.087405,10,5.294265
15.073486,13,5.329638
15.211068,16,5.372079
10.451459,7,5.390554
11.990172,10,5.41768
12.093695,11,5.44695
17.266622,15,5.4873
10.745701,18,5.534886
14.327881,10,5.561726
19.289716,20,5.615259
12.554533,12,5.646751
13.394995,13,5.681323
14.237556,12,5.713235
11.846521,9,5.737791
12.272272,10,5.764315
13.589649,12,5.796254
10.439296,7,5.815286
14.374912,14,5.852973
15.015049,15,5.893099
13.802,16,5.935837
12.546785,10,5.96286
13.75131,14,6.000509
11.953053,9,6.025259
13.992924,11,6.055214
12.098447,9,6.079711
10.613412,12,6.111713
12.319788,11,6.141184
22.929252,29,6.219323
21.783866,23,6.281647
9.693577,13,6.317798
15.644057,13,6.352636
12.971721,9,6.377786
14.350699,14,6.415195
13.364948,22,6.474101
20.683048,31,6.556495
