#{"t_start": 1587174851.4033859, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
14.306545,16,0.731186
16.13738,21,0.812903
12.174441,10,0.849681
14.131075,16,0.91303
12.313399,13,0.949749
14.615199,14,1.001817
10.801967,8,1.030918
18.314699,20,1.090046
17.563742,17,1.135495
16.583535,18,1.184886
18.817521,21,1.246805
12.303352,8,1.26759
11.713776,19,1.318333
9.695761,6,1.33494
15.132675,18,1.382593
10.513075,7,1.401444
10.037536,13,1.43567
15.596965,18,1.484852
15.060035,15,1.525178
13.500373,11,1.554918
18.832244,19,1.605016
12.272305,10,1.632495
16.428805,15,1.672446
19.674054,23,1.733755
15.689568,14,1.771469
9.045263,9,1.795192
13.953336,13,1.829572
12.388948,11,1.858873
14.072252,16,1.902469
19.602299,19,1.952574
16.396119,20,2.006394
13.157562,11,2.036335
17.359517,16,2.079184
12.845679,16,2.121754
11.880667,9,2.146287
12.326157,8,2.167725
15.040934,12,2.20021
17.432735,21,2.256504
18.002489,22,2.314647
12.038275,8,2.336753
12.531623,10,2.363327
9.189221,14,2.401113
13.837872,16,2.445632
11.778636,9,2.469433
11.866802,8,2.49072
12.583921,11,2.520605
11.909466,14,2.558079
13.276201,12,2.589875
11.165366,7,2.608841
16.38737,22,2.667723
13.363064,10,2.69461
12.855675,9,2.719265
13.389159,12,2.751717
9.525657,9,2.775941
13.411402,12,2.808581
11.476454,11,2.838464
15.649693,15,2.878031
18.03582,17,2.923919
13.105131,11,2.95344
18.643854,20,3.007128
22.216359,20,3.060908
12.845825,10,3.087582
12.36494,10,3.114196
12.048003,10,3.141162
12.644723,18,3.189694
11.262068,8,3.211509
17.080279,17,3.256745
12.266029,11,3.286259
9.830815,7,3.305206
11.861863,9,3.329965
12.907884,11,3.359297
14.774715,14,3.397114
10.943543,8,3.417768
12.649439,11,3.447304
11.602271,9,3.471655
12.312688,12,3.504675
14.531219,11,4.487423
17.219479,16,4.548702
11.381905,11,4.579105
18.97055,18,4.627314
16.525856,23,4.689365
13.133428,9,4.713397
11.718855,13,4.748722
14.786573,12,4.780644
11.006814,11,4.810923
8.465624,12,4.843513
9.900416,7,4.862434
11.20444,13,4.896725
13.109261,14,4.934856
13.517299,14,4.972727
14.793645,12,5.00529
16.684314,16,5.048045
12.137266,24,5.112893
11.834642,7,5.132062
16.001115,22,5.19049
13.342876,12,5.222726
11.497084,14,5.259944
16.049998,13,5.295033
13.610339,13,5.33008
13.786734,19,5.381252
12.873045,9,5.40533
16.231619,15,5.445242
12.016546,11,5.474682
17.29625,30,5.554404
13.507594,12,5.586489
10.755951,8,5.607962
11.170935,8,5.629495
13.101672,13,5.663698
12.135303,9,5.688098
13.301245,13,5.722861
13.541798,23,5.78439
15.503896,19,5.8354
11.989105,9,5.85979
23.305201,25,5.926472
11.686154,9,5.950933
11.324892,9,5.974985
14.665428,11,6.0047
11.324828,9,6.029423
11.474112,8,6.05086
16.376911,15,6.091595
9.037768,8,6.112595
11.732089,8,6.133955
15.042311,14,6.172224
13.216488,10,6.199056
13.662008,11,6.229391
16.13766,23,6.290901
11.642061,9,6.316069
