#{"t_start": 1587174851.402108, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.483081,10,0.7147
13.333982,11,0.750823
15.282279,18,0.822962
11.920381,9,0.853589
11.054554,14,0.909593
12.631545,12,0.942475
11.884267,14,0.995221
23.081829,25,1.077203
13.51745,14,1.114609
12.297042,9,1.139175
8.446005,8,1.161121
11.842007,9,1.185229
12.136247,9,1.215358
12.409463,11,1.244676
13.834827,10,1.271621
12.058681,10,1.29776
13.787205,10,1.325373
12.733766,12,1.357125
14.112323,11,1.386286
16.09698,15,1.425883
11.782172,8,1.447675
9.585564,14,1.485214
10.091191,9,1.509727
12.021809,8,1.53155
12.804804,16,1.573956
12.850667,9,1.597626
10.549483,12,1.629828
14.543566,16,1.672812
12.425541,10,1.699632
18.009256,20,1.753208
11.029307,7,1.771812
15.333888,18,1.819287
12.530309,16,1.862522
14.885968,12,1.8945
10.392437,8,1.916568
13.845422,14,1.952923
14.963145,12,1.985494
14.874775,17,2.031473
13.27987,8,2.052913
16.909212,17,2.098855
12.955209,13,2.133438
13.061145,9,2.157631
12.525146,9,2.182076
12.763301,17,2.22768
13.220883,10,2.254303
21.83937,25,2.320979
12.278697,17,2.366997
12.730182,10,2.393774
12.809075,13,2.428847
11.921465,11,2.459517
14.947182,13,2.494375
10.920858,7,2.513289
11.778936,12,2.54509
12.26766,9,2.569833
13.567283,16,2.612519
16.115214,14,2.650012
10.080744,10,2.677111
12.658522,14,2.714148
12.971607,11,2.743985
12.055394,12,2.7763
9.216122,7,2.795754
11.206037,9,2.820433
12.965926,11,2.849702
13.200761,11,2.878426
11.411672,15,2.918832
13.89778,17,2.965172
11.696309,16,3.007474
10.983314,8,3.029533
11.293211,10,3.056083
10.431269,9,3.08025
17.011958,17,3.125927
18.32889,16,3.168967
10.606583,8,3.19008
18.282272,19,3.240991
13.414982,9,3.265577
18.044368,24,3.330296
13.969552,15,3.37059
11.757146,7,3.389775
13.059232,12,3.421427
15.53708,15,3.461037
10.784172,18,3.511468
12.012913,13,4.505206
11.678043,16,4.560421
19.388679,29,4.639543
14.03,15,4.678989
15.339829,13,4.713721
10.386348,8,4.735956
16.146058,21,4.792439
17.377435,18,4.84123
17.762269,22,4.900827
14.303473,12,4.932653
13.46055,11,4.962756
14.89572,11,4.992088
11.834657,10,5.019154
14.072502,18,5.067794
13.716292,10,5.094757
13.926718,11,5.124627
12.319739,14,5.161781
16.663431,18,5.209689
10.543605,15,5.250165
17.12705,15,5.290192
14.216458,12,5.322742
9.735563,8,5.344839
17.873924,24,5.40906
8.934716,13,5.443029
9.428353,6,5.459349
9.224614,7,5.478402
18.666546,18,5.526058
14.33936,20,5.579053
12.610145,12,5.611685
15.869274,21,5.667416
12.918527,11,5.696898
13.678989,13,5.731655
11.003493,15,5.771795
16.741268,14,5.808863
16.141519,13,5.844256
9.702093,14,5.881454
17.689742,23,5.943287
11.218286,11,5.972806
12.447396,8,5.994351
11.544991,8,6.016171
14.51969,22,6.075679
15.040548,15,6.116596
12.014051,11,6.146084
12.03297,14,6.183663
11.383951,9,6.208047
8.543775,7,6.226758
16.214152,17,6.272538
10.444661,14,6.311239
12.454828,9,6.335623
11.051698,8,6.357571
13.665893,12,6.390379
15.760807,14,6.427905
18.330359,20,6.481564
15.625727,23,6.542554
13.843252,13,6.577569
11.202541,10,6.604545
11.87864,15,6.64465
11.384865,11,6.674281
13.962159,16,6.718127
11.657908,7,6.737573
12.824465,18,6.786184
14.075135,17,6.832366
11.311747,8,6.853981
15.147048,22,6.912725
10.59331,9,6.936365
12.674205,9,6.961212
14.291479,14,6.998595
18.922171,27,7.070773
12.779212,9,7.094945
11.570578,16,7.138235
10.460895,11,7.168461
11.139582,8,7.19068
11.079064,9,7.215505
11.916943,7,7.234122
11.024922,8,7.255567
17.426095,22,8.196304
24.482309,26,8.282031
12.081485,7,8.307489
10.602474,9,8.340035
13.04648,9,8.363815
22.343584,25,8.430009
12.940911,16,8.47256
17.419221,15,8.513146
18.425549,16,8.557126
21.75562,31,8.639864
12.810901,10,8.66693
12.6307,8,8.688303
17.427814,19,8.740098
11.839364,10,8.76703
11.206507,9,8.79153
12.381897,14,8.828693
11.883059,9,8.852648
17.089882,18,8.901064
13.107549,14,8.93849
11.917564,9,8.962909
16.199112,16,9.006009
14.517579,20,9.059251
14.070298,13,9.093925
12.642703,9,9.11837
10.370617,8,9.139972
18.81512,23,9.201947
11.916373,11,9.230896
12.601512,9,9.255755
23.133321,25,9.323239
11.940041,11,9.352661
15.348063,14,9.796685
16.033786,15,9.838631
19.406531,24,9.904838
14.36562,13,9.940321
11.204193,12,9.973819
13.885818,15,10.014724
14.179118,16,10.059463
21.969348,33,10.150953
12.598926,16,10.194636
13.754531,12,10.228659
13.682393,12,10.261742
11.478873,10,10.289495
13.353254,9,10.314653
11.40332,9,10.339196
13.884071,20,10.394828
13.839915,14,10.432682
19.94847,23,10.495177
19.430367,18,10.544022
17.558956,15,10.585131
13.38619,13,10.621018
15.319532,18,10.670165
14.115338,13,10.705315
15.063735,11,10.73519
15.104546,24,10.800072
14.650545,9,10.825036
12.457841,11,10.855319
13.785488,14,10.892204
21.539244,22,10.952376
13.061763,14,10.991126
15.445171,14,11.029378
12.322313,9,11.053556
13.338668,11,11.083339
14.459287,16,11.126963
18.743404,18,11.178415
12.882712,11,11.210329
14.75779,13,11.247873
13.294384,12,11.282436
13.191715,8,11.30557
11.648645,12,11.347562
14.80194,13,12.226876
11.569195,12,12.259853
15.742911,14,12.298693
15.88559,15,12.340317
16.896445,18,12.389029
25.243825,40,12.498302
18.093506,21,12.555433
14.194837,14,12.59391
18.540687,28,12.668997
12.42828,9,12.69374
11.876536,7,12.713412
21.142535,29,12.792422
17.268343,19,12.84374
22.321311,27,12.916927
14.96362,13,12.952852
11.674388,8,12.975128
14.164612,13,13.010713
13.146433,15,13.052375
13.270285,8,13.074775
14.086725,12,13.108104
18.843549,17,13.153916
15.991975,17,13.201687
14.577118,15,13.243275
16.344034,16,13.287211
13.408048,18,13.337183
20.679783,29,13.417483
23.718162,33,13.507266
14.313026,13,13.54363
13.585473,15,13.584476
32.344641,37,13.688083
15.4157,15,13.729407
12.985375,12,13.762429
16.842059,22,13.822356
12.848142,14,13.861476
20.203449,28,13.939691
13.660312,18,13.989462
13.089117,10,14.017653
10.977226,8,14.039701
27.769699,41,14.152212
16.096309,17,14.198782
15.597862,15,14.239761
20.324678,26,14.312291
16.005395,14,14.35103
11.030967,12,14.384432
13.620342,13,14.420975
14.762461,15,14.462192
9.376217,6,14.478752
14.993307,13,14.514404
19.13642,21,14.571856
10.147647,9,14.596801
17.573165,16,14.641765
11.589944,8,14.663579
12.267479,15,14.704642
12.540472,11,14.73457
20.851639,27,14.814559
14.290403,12,14.847024
18.686251,23,14.914472
11.908834,12,14.956782
22.402395,21,15.029263
12.253176,12,15.065691
21.830411,26,16.000047
16.744494,19,16.051805
16.458757,24,16.117024
14.105265,12,16.149529
25.64607,38,16.253857
