#{"t_start": 1587180036.0890088, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.571169,8,2.016728
24.71009,31,2.036041
14.268668,16,2.045992
15.218417,10,2.052698
15.734434,12,2.060202
18.617774,15,2.069374
12.185488,8,2.074634
22.087651,26,2.091085
13.237768,8,2.096339
21.027515,22,2.11033
15.72275,14,2.119191
19.673592,18,2.130655
14.502272,12,2.138338
12.14612,7,2.143033
15.939905,16,2.153144
14.604639,12,2.161047
17.180747,14,2.169863
28.257792,36,2.192505
17.940849,16,2.202853
16.958878,14,2.211882
14.29484,11,2.219016
16.084161,13,2.22728
18.72722,19,2.239114
16.860386,17,2.250108
12.663611,7,2.254784
14.230552,11,2.261918
16.138971,12,2.269697
18.820126,22,2.283606
25.598633,29,2.301977
15.139969,15,2.31137
16.874403,16,2.321272
14.823974,11,2.328369
16.823637,17,2.338782
13.517121,8,2.344028
17.767711,17,2.354808
30.973071,29,2.372624
14.892485,13,2.38093
19.022982,17,2.391543
16.243669,13,2.39972
13.533754,8,2.405078
14.805,11,2.412056
15.997044,12,2.419868
17.654484,17,2.430768
18.020502,14,2.439662
17.295159,13,2.448098
20.161642,17,2.458942
15.392061,11,2.466031
19.758716,19,2.478009
22.441196,21,2.491293
20.868077,19,2.503498
14.631895,11,2.510696
16.775567,18,2.522355
13.871299,10,2.528862
14.581686,10,2.535489
12.912315,8,2.540794
14.263811,10,2.547272
17.595105,15,2.556875
20.604978,22,2.570381
12.175435,11,2.577467
16.893788,13,2.585807
16.107617,13,2.594051
14.28106,10,2.600706
19.081606,18,2.611992
17.682206,13,2.620164
23.810432,23,2.634481
18.160407,14,2.643499
12.533965,9,2.649304
13.621188,10,2.655983
15.883928,12,2.663762
11.122925,11,2.67081
23.08471,20,2.683203
20.818934,18,2.694421
13.619944,12,2.702053
16.01133,18,2.713302
14.126977,10,2.719839
17.479017,13,2.728189
15.583148,12,2.735936
13.244748,10,2.742452
15.236054,11,2.749566
12.638062,9,2.755523
19.505289,15,2.765123
17.247233,14,2.774086
16.731244,14,2.783074
20.177662,20,2.795799
25.022034,26,2.811955
16.705211,11,2.819161
21.197074,21,2.832468
24.778254,22,2.846203
14.783616,10,2.852626
12.594608,10,2.859084
16.811493,11,2.866054
14.354935,9,2.87203
14.783729,13,2.880454
19.479824,18,2.891874
17.500566,16,2.901958
18.392727,14,2.910972
20.760755,20,2.92378
14.097336,9,2.929629
13.34049,10,2.936145
20.785037,23,2.951125
17.342701,15,2.96086
20.339398,16,2.971004
18.23992,13,2.979335
20.054894,19,2.991416
12.150551,8,2.996694
12.958394,12,3.004486
13.684809,10,3.010841
17.438429,15,3.0203
14.883156,10,3.026848
13.379671,12,3.034508
21.195434,19,3.046571
23.169879,20,3.058804
15.507707,17,3.069349
17.998893,15,3.078773
12.869991,13,3.086983
15.70838,13,3.095582
14.81211,11,3.102571
14.785411,11,3.109705
15.745264,12,3.117324
21.530523,21,3.13094
16.39537,13,3.139181
18.869009,15,3.148894
22.580854,21,3.162147
14.776062,9,3.168036
13.545465,7,3.172724
13.881407,16,3.18267
14.86551,10,3.189037
19.669082,18,3.200784
19.637589,20,3.213334
17.57595,18,3.22443
14.108827,14,3.233488
17.073872,16,3.243555
16.724957,14,3.252641
15.656954,12,3.260294
13.059835,10,3.2667
17.451339,14,3.275625
15.226487,15,3.285273
13.583031,9,3.291198
22.037936,20,3.303885
24.298019,21,3.317157
15.722245,17,3.327649
17.104364,17,3.338365
22.665169,21,3.351593
16.853829,16,3.36166
13.432153,9,3.367568
14.846488,11,3.374747
13.850286,10,3.381265
15.254498,10,3.387881
15.595723,10,3.394338
16.96382,17,3.405069
21.17849,17,3.416033
21.524072,23,3.431015
15.057084,11,3.438109
17.521396,13,3.446382
15.201536,11,3.453368
21.486368,19,3.465583
18.883059,19,3.477284
13.21785,8,3.482508
15.483298,13,3.490883
15.329607,11,3.498037
16.355198,16,3.5081
12.19992,11,3.515085
14.071751,10,3.521676
19.171559,15,3.531307
18.406191,18,3.542756
17.693725,17,3.553387
16.854685,12,3.561143
17.809612,13,3.569753
20.119482,17,3.580643
21.484858,20,3.593361
15.868806,16,3.603465
14.380439,10,3.609892
15.266295,13,3.618132
15.166796,14,3.626905
17.974534,16,3.637166
21.422667,19,3.649242
17.299687,15,3.658728
15.728872,12,3.666425
18.724533,18,3.677689
20.619629,22,3.69131
20.90066,18,3.702595
17.27221,14,3.71174
14.153859,9,3.717662
9.923814,6,3.721743
19.040224,17,3.732697
14.924706,12,3.740527
16.329672,13,3.748855
15.974559,15,3.758545
22.526641,26,3.774919
15.467147,16,3.785209
13.958132,10,3.791793
11.794404,7,3.796551
20.415688,24,3.811481
13.540396,9,3.817371
18.206701,18,3.828716
15.659327,13,3.837021
15.151152,9,3.842927
14.523288,10,3.849513
12.185952,9,3.855375
13.743678,10,3.861962
20.447678,24,3.876806
11.893308,7,3.881513
20.047203,15,3.891223
22.786518,33,3.912315
19.73462,19,3.924044
15.270573,12,3.931946
16.195047,12,3.939614
15.359888,10,3.946213
19.630988,19,3.958116
16.618133,13,3.966518
12.794952,11,3.973624
24.307569,29,3.991935
17.491607,19,4.003865
13.722719,9,4.009762
15.642588,11,4.016877
11.792558,8,4.02218
18.660267,18,4.033695
14.841674,14,4.042532
16.959954,13,4.050952
20.256026,17,4.061749
11.879421,7,4.066337
10.934465,6,4.070411
17.252485,11,4.077455
14.400585,10,4.084113
16.768425,19,4.096077
16.423357,15,4.105628
16.44617,15,4.114968
19.028016,16,4.125267
14.957768,13,4.133574
14.956876,14,4.142602
15.299056,11,4.149799
17.615608,16,4.160005
17.025733,14,4.168998
16.419913,12,4.17673
16.776412,16,4.186685
17.117964,14,4.195686
12.719101,9,4.201531
11.455499,7,4.206202
14.027758,8,4.211497
16.025559,12,4.219172
12.380753,9,4.224978
22.292636,20,4.237748
15.931666,12,4.245611
17.534879,13,4.254168
18.130511,16,4.264947
20.955595,20,4.277644
15.445516,18,4.289092
17.195548,16,4.299363
20.162581,21,4.312787
20.346829,25,4.328452
23.511319,21,4.341564
18.119299,19,4.353527
17.111495,14,4.362264
16.836368,16,4.372094
13.043311,9,4.377882
26.969086,31,4.397619
11.652584,8,4.402858
20.596641,19,4.414736
14.109771,14,4.423732
22.455805,23,4.438223
16.333942,12,4.446041
17.845775,12,4.453727
13.869338,12,4.461537
14.323496,11,4.468612
16.561649,14,4.477302
20.313295,22,4.491266
14.040868,11,4.498398
11.662553,11,4.505409
14.835933,12,4.513046
14.573809,12,4.520663
12.453627,8,4.525836
18.222927,14,4.534708
15.137681,13,4.542987
19.936962,15,4.55243
14.094029,10,4.558884
19.769829,21,4.572288
18.416876,17,4.582918
13.146411,9,4.588911
16.001333,13,4.597326
16.548465,18,4.609038
19.615668,19,4.621069
17.110784,15,4.630796
20.119367,19,4.642955
14.83131,11,4.650281
18.610704,14,4.666422
17.533303,13,4.674608
16.764244,13,4.682857
15.418806,14,4.691648
14.550111,11,4.698766
17.649289,14,4.70759
19.101838,19,4.719646
15.182244,12,4.727606
17.033572,13,4.736248
15.104056,11,4.743398
16.646102,13,4.751719
15.427621,14,4.76064
13.780016,10,4.767164
14.475823,9,4.773079
13.95635,13,4.781285
13.891476,11,4.788341
31.837138,28,4.806048
19.023553,14,4.814752
24.912958,24,4.829901
12.178034,8,4.835278
23.266386,21,4.848852
15.979574,12,4.856593
19.796686,18,4.868224
18.392574,15,4.877823
14.850738,11,4.884859
15.072854,10,4.89131
16.165204,15,4.90064
14.732981,11,4.907962
11.474147,7,4.912694
13.28488,10,4.919228
14.832174,12,4.926775
20.17073,18,4.938349
12.321955,9,4.944218
19.704488,15,4.953972
17.293001,13,4.96243
15.661679,13,4.97083
21.412646,23,4.985341
28.340065,32,5.005103
15.239643,10,5.011583
19.374878,17,5.022296
14.302956,10,5.02899
17.417733,15,5.038477
15.705412,12,5.046153
16.285873,15,5.055695
13.836492,9,5.061548
17.901628,18,5.072877
15.77056,19,5.084777
13.015352,13,5.093133
17.153063,25,5.108804
14.603543,11,5.115969
14.610776,12,5.123658
17.339386,13,5.132178
14.715003,12,5.140005
13.304321,8,5.145349
22.693751,22,5.159156
16.224829,15,5.168873
20.874948,17,5.179796
14.929211,16,5.189843
26.453779,27,5.206977
16.559237,14,5.216038
14.044844,10,5.222582
15.605849,11,5.229722
19.323672,19,5.241962
16.783992,16,5.252345
