#{"t_start": 1587172621.962688, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
9.757097,6,0.524441
12.987925,13,0.560621
17.18394,16,0.698858
12.114525,14,0.737404
10.796422,9,0.76229
11.137745,8,0.785988
15.887361,22,0.848022
10.74594,17,0.896391
12.502729,13,0.931833
9.712498,13,0.969669
11.757259,7,0.98957
10.751527,17,1.036268
12.753297,10,1.077706
11.231996,10,1.111076
13.192658,9,1.136061
11.228867,9,1.161532
13.45068,10,1.187988
11.23809,9,1.21212
9.806981,7,1.230395
16.941172,19,1.286399
16.011753,13,1.32128
12.229634,8,1.349014
14.324068,13,1.383029
15.145163,13,1.416687
13.447149,20,1.470809
15.061209,12,1.502687
12.675257,9,1.535244
11.773023,13,1.576154
13.471331,12,1.608197
15.55177,14,1.647853
15.696879,16,1.691748
11.738349,11,1.723271
11.831093,10,1.750042
10.945135,6,1.766168
12.05954,10,1.803204
12.396403,10,1.82995
15.914934,21,1.887825
12.528591,12,1.924766
12.521849,10,1.950808
9.73008,8,1.971807
17.438093,22,2.032313
10.256361,7,2.051878
14.525623,21,2.118001
10.555094,16,2.164687
17.226121,29,2.240329
11.475163,12,2.272875
12.150315,14,2.315305
14.401671,16,2.362849
11.403444,16,2.405496
11.97455,10,2.436326
9.413859,8,2.459477
11.130468,11,2.488364
11.560319,9,2.512442
12.646273,16,2.560926
12.887798,9,2.584079
10.692805,8,2.604871
9.413001,6,2.621096
21.884924,19,2.671375
13.266,13,2.712809
13.342135,9,2.736465
14.734488,14,2.773499
16.317884,15,2.815273
16.871748,23,2.87741
15.548078,16,2.992568
12.846269,9,3.016544
13.502039,9,3.042608
16.597375,19,3.091973
11.078669,8,3.113311
12.297422,13,3.149013
13.117587,14,3.185381
14.002922,17,3.236229
10.333055,7,3.260797
12.943828,11,3.289516
14.56235,13,3.326066
13.126928,10,3.353151
16.627187,17,3.402782
10.510179,10,3.42872
9.878283,6,3.44384
13.609406,9,3.466777
12.156867,9,3.492237
14.2142,15,3.531568
12.778154,12,3.56431
13.26128,11,3.594214
15.240964,15,3.640563
16.123747,15,3.680796
15.671853,23,3.742939
12.543574,10,3.769403
15.438774,16,3.812033
18.493299,26,3.883188
16.395041,14,3.921279
11.405888,12,3.953754
14.056958,10,3.98046
16.225428,19,4.037783
17.86405,21,4.094995
13.161075,12,4.127126
16.918967,20,4.182531
10.069794,9,4.215032
14.569029,22,4.273296
10.25929,9,4.296848
14.287974,13,4.330699
12.743968,13,4.371321
10.834817,11,4.400464
11.29431,10,4.427359
11.474129,9,4.456431
23.390417,30,4.536154
11.334132,9,4.560914
16.631173,16,4.601657
15.899799,15,4.646072
12.907492,10,4.672611
12.65501,14,4.70919
11.493925,11,4.740156
13.696264,8,4.761162
17.886621,18,4.813959
10.771524,11,4.843077
12.795658,16,4.884713
12.964328,11,4.915239
11.678791,9,4.93966
11.735724,9,4.963642
11.917805,8,4.985739
14.513649,14,5.022363
10.030696,8,5.044245
13.129236,10,5.072475
13.550987,13,5.106893
18.237745,16,5.150755
15.257519,14,5.188277
11.747228,10,5.214968
9.970556,14,5.25283
10.512713,7,5.272219
16.427523,26,5.343265
14.699502,19,5.393254
11.161237,7,5.418417
9.806539,6,5.434389
15.578728,15,5.474321
13.101327,12,5.508263
12.192745,10,5.536001
10.303129,7,5.559967
12.833714,14,5.598862
13.276792,17,5.644382
10.045344,8,5.665512
8.392083,12,5.697986
14.211225,13,5.731499
13.263196,10,5.758466
10.135204,7,5.778382
15.715483,22,5.841143
11.841199,15,5.883647
16.62527,18,5.933343
11.710216,8,5.956466
14.176116,12,5.988801
13.045631,16,6.033055
8.868028,8,6.054964
16.679846,19,6.105695
12.370947,13,6.141958
13.170627,12,6.174199
9.804783,7,6.192828
22.253233,23,6.255504
10.055642,7,6.274461
14.964427,18,6.324217
18.108922,27,6.396674
12.716396,10,6.423055
8.983387,12,6.454731
19.542597,24,6.520419
15.635027,13,6.556486
10.827079,7,6.575769
12.125592,13,6.610481
11.903788,9,6.638335
14.523172,16,6.68254
11.650314,10,6.708766
12.118603,14,6.755389
13.879745,16,6.801654
14.495275,11,6.83198
14.923243,15,6.872356
13.9102,10,6.898953
15.141835,12,6.932863
11.774289,9,6.956731
10.310157,8,6.978212
15.322485,17,7.024235
14.628646,15,7.063583
12.262861,10,7.091513
13.865754,13,7.12528
11.787518,8,7.146657
12.794067,13,7.18648
13.723584,10,7.212579
10.87727,10,7.23876
10.972312,14,7.276507
13.077291,11,7.310561
13.105984,12,7.341484
12.573681,21,7.398576
14.94262,19,7.449586
14.30618,14,7.485662
15.636009,14,7.522902
12.835757,9,7.5465
11.903998,11,7.575051
12.579232,12,7.608207
14.388671,12,7.826919
11.024909,9,7.850778
13.262189,10,7.877173
14.641088,18,7.926062
9.021451,7,7.945253
12.226814,16,7.989306
18.843217,24,8.053013
11.090033,13,8.088018
13.069921,10,8.11434
13.208867,9,8.139563
12.716701,12,8.176463
10.376351,14,8.213584
11.601871,8,8.235794
11.224521,8,8.256584
18.68754,24,8.320769
10.993758,6,8.336666
12.553506,10,8.363079
9.792014,14,8.402795
16.747798,22,8.461079
14.211417,13,8.497556
12.077233,13,8.533409
11.342634,9,8.563838
12.841593,21,8.618999
12.450983,11,8.64746
9.952089,14,8.685352
19.638445,25,8.752489
10.068281,9,8.775449
12.514468,10,8.802412
10.798545,8,8.822424
12.208478,7,8.842093
10.676554,10,8.867466
17.915941,24,8.931188
13.924906,14,8.967564
10.844202,7,8.985893
13.107553,15,9.02512
12.619669,11,9.053822
14.316794,16,9.09638
13.715616,9,9.120103
20.491937,20,9.172876
12.602496,10,9.199379
13.686577,14,9.235032
19.01912,22,9.292481
15.518992,15,9.332009
10.48734,9,9.357474
17.573308,15,9.396291
10.620454,13,9.431537
14.756153,11,9.460398
10.705438,7,9.478771
11.690513,9,9.50243
11.623695,9,9.52685
11.10379,7,9.544889
15.222505,13,9.577974
18.607125,20,9.631692
11.545264,9,9.654524
18.88721,21,9.711336
11.178359,11,9.739546
11.023705,12,9.772277
12.044926,7,9.790606
14.950307,17,9.834645
16.404217,16,9.877094
15.362066,12,9.90819
13.059894,9,9.932558
13.539845,9,9.956206
15.778167,15,9.994276
12.949173,20,10.047929
9.336113,6,10.063174
16.444056,17,10.108741
12.2654,12,10.140699
10.894331,10,10.1665
14.974849,18,10.21519
13.188826,10,10.241275
10.009172,14,10.2877
15.031528,13,10.325476
16.343931,19,10.377485
15.171115,15,10.417314
12.772431,12,10.449097
15.268075,13,10.48609
13.241702,11,10.51617
11.376761,12,10.549703
13.351899,12,10.581949
11.814787,13,10.616734
12.484579,12,10.650234
11.46268,15,10.690871
14.947662,16,10.734777
10.265132,8,10.756372
13.717975,10,10.783287
17.707154,23,10.851678
14.728038,13,10.885462
10.091372,7,10.905328
11.883359,10,10.931587
12.371388,10,10.958554
22.276056,28,11.03372
13.817155,10,11.060251
12.446008,10,11.087558
19.063382,22,11.145791
13.25847,10,11.173347
19.795783,19,11.223452
14.722254,13,11.259787
15.295929,18,11.306802
13.690172,19,11.357801
15.186355,16,11.400081
11.22488,8,11.422469
12.517647,8,11.444013
12.69127,17,11.489572
13.5246,11,11.521147
16.838999,27,11.613553
11.43107,10,11.639724
14.429953,13,11.672796
16.328648,18,11.723865
13.305071,13,11.757302
15.638062,15,11.797843
15.348352,20,11.851411
12.259369,10,11.87948
14.407598,13,11.913937
17.372675,19,11.965872
12.826644,9,11.989894
12.530318,9,12.013834
12.402979,9,12.039582
12.753991,15,12.078574
14.400584,21,12.135361
13.874529,17,12.18817
14.822068,15,12.233488
15.870602,20,12.29
16.158594,17,12.34267
12.323316,15,12.381309
11.031811,12,12.415442
13.054324,15,12.458238
7.513157,7,12.475937
16.651937,16,12.529104
15.079148,13,12.562644
15.84505,14,12.600929
12.839575,11,12.62944
10.733674,8,12.650394
11.031228,7,12.671388
11.075976,20,12.727141
11.977664,10,12.752271
16.359687,24,12.820544
13.036954,19,12.869848
13.44986,10,12.896034
12.013565,16,12.938437
16.688851,20,12.989728
17.696698,22,13.050693
15.653584,18,13.096446
16.194021,18,13.148198
12.838482,9,13.17071
12.679653,18,13.218454
12.277208,9,13.242106
12.15084,8,13.262735
12.019297,12,13.30005
15.10795,17,13.343266
10.72086,13,13.383835
13.000096,15,13.421887
10.911833,10,13.450117
12.794708,11,13.483994
14.116458,12,13.515727
12.509102,11,13.545773
15.677694,16,13.588312
12.618342,11,13.617093
16.205372,16,13.660635
12.934632,11,13.690333
14.180838,12,13.727977
12.49431,9,13.751776
16.930529,16,13.793654
13.551201,11,13.822475
14.031429,17,13.866511
12.749427,13,13.901459
18.456101,21,13.956938
14.350524,12,13.99009
13.898516,17,14.033748
11.405562,12,14.072372
15.583921,15,14.110834
12.810953,11,14.13943
11.367275,13,14.176239
11.640342,7,14.196893
10.22892,16,14.238903
12.66214,13,14.273823
10.902919,8,14.29561
12.317624,12,14.328258
13.749417,12,14.360296
10.21758,9,14.38423
13.484866,10,14.411241
9.953288,7,14.429463
15.847394,18,14.476516
13.15707,31,14.559964
15.724482,23,14.782867
10.937081,8,14.804113
15.703624,15,14.845114
14.168766,15,14.884476
12.997622,12,14.916711
11.440202,9,14.940639
12.535823,10,14.967189
14.392787,10,14.994986
13.79979,12,15.026232
11.928602,20,15.079399
12.417302,8,15.100681
16.223494,19,15.15042
9.892365,7,15.170324
13.69155,12,15.202856
12.405211,14,15.239301
15.703917,13,15.274242
11.944012,15,15.314018
12.089683,17,15.35979
14.546182,11,15.390144
20.063155,31,15.475066
16.512949,17,15.5202
12.190275,9,15.543258
12.788694,11,15.572086
11.9964,8,15.595543
11.040631,12,15.631289
21.421412,27,15.704009
11.984106,13,15.738382
11.980296,13,15.774024
10.877317,12,15.805281
18.478581,20,15.859155
13.823288,10,15.886276
10.597707,8,15.908096
