#{"t_start": 1587172621.9608684, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
16.578089,14,0.546648
10.863869,16,0.594867
12.90461,13,0.721272
17.224776,18,0.771291
11.709939,9,0.797885
11.976739,9,0.823144
13.105026,11,0.854363
9.519395,7,0.874891
21.456252,22,0.935597
12.271472,10,0.96477
15.867347,15,1.006447
17.172979,21,1.077692
13.737388,14,1.123084
13.608693,12,1.155466
14.806481,13,1.1917
11.880676,8,1.212502
10.671813,14,1.255189
12.612428,11,1.284199
16.408083,18,1.332274
16.556705,15,1.378222
10.657742,7,1.396475
12.436656,11,1.425785
17.565718,25,1.492765
13.591933,11,1.530564
12.2175,11,1.566709
13.045815,11,1.595196
12.038392,8,1.618327
10.903435,8,1.640397
11.839559,10,1.667904
13.934335,14,1.707156
16.501186,16,1.750428
14.365698,14,1.797233
10.126531,9,1.822023
11.650283,10,1.849755
17.302271,13,1.884338
20.041403,28,1.964455
13.717238,12,1.997708
11.487234,8,2.019289
11.430948,10,2.046783
10.53953,6,2.063204
19.467859,19,2.125204
11.116036,8,2.14964
14.460462,12,2.181325
13.035393,14,2.217448
13.280304,15,2.257954
11.299135,8,2.279084
10.832711,13,2.318936
15.75494,16,2.36649
15.353073,14,2.403466
13.256681,14,2.447151
11.51842,8,2.468928
13.069155,11,2.497362
12.834143,13,2.538491
8.196265,8,2.55906
9.995477,8,2.579632
11.509123,9,2.602534
14.717007,12,2.635731
10.626101,9,2.659626
12.710878,9,2.682927
15.993136,14,2.72677
20.377226,24,2.79144
10.164599,9,2.815687
15.13122,12,2.847684
17.246859,18,2.896264
13.302725,15,3.009106
12.851157,10,3.037407
17.726364,18,3.085047
13.511446,10,3.11094
15.361549,23,3.173045
12.847277,13,3.210939
14.240316,11,3.243057
13.778233,12,3.279538
13.961828,17,3.326433
13.153966,9,3.350501
10.392913,7,3.36941
13.993032,15,3.414317
13.733562,12,3.444258
10.154122,6,3.459858
14.009036,12,3.492606
13.786834,10,3.519071
15.155113,11,3.547801
11.124631,12,3.58146
15.470855,20,3.640995
15.023168,27,3.713171
12.502015,11,3.743369
14.549941,12,3.776054
12.87945,12,3.80724
9.94345,8,3.830435
9.859416,10,3.857169
12.775785,9,3.881114
13.854565,11,3.910059
17.066271,26,3.980828
15.614849,13,4.022492
16.912177,17,4.067751
11.436849,8,4.088246
12.46685,10,4.116786
20.482557,29,4.202571
13.319526,11,4.233838
11.736441,9,4.256889
14.808717,14,4.294679
11.436308,11,4.323098
11.33802,7,4.341972
16.708477,18,4.395014
11.487317,11,4.424775
11.894915,9,4.451288
14.695449,14,4.49307
12.855015,9,4.516298
15.412689,19,4.567034
15.538559,11,4.59487
14.309002,13,4.634316
11.515973,10,4.659976
15.193931,15,4.699525
15.955541,21,4.756135
16.579896,16,4.799781
17.741346,16,4.846717
12.907215,14,4.882664
15.342774,17,4.929488
11.056569,8,4.950909
13.041776,14,4.989402
11.788714,14,5.02661
12.321458,12,5.058009
13.810492,9,5.083946
12.332501,12,5.115772
14.749404,21,5.172575
10.285884,10,5.199722
14.682328,15,5.240521
13.818716,10,5.26751
10.660989,6,5.28374
10.530514,7,5.302971
16.291206,21,5.359601
12.191654,10,5.385508
12.468668,10,5.418757
10.044842,7,5.438113
16.693092,18,5.486041
14.933957,15,5.528561
11.579999,11,5.563685
10.349703,11,5.59399
10.137385,6,5.610492
13.119873,11,5.639404
16.396573,16,5.683143
14.488428,11,5.711941
13.726919,10,5.738282
12.681926,10,5.765894
10.870914,10,5.792753
10.23298,7,5.811352
13.873893,16,5.859924
13.084406,10,5.887359
13.933568,14,5.925395
10.819807,9,5.951749
18.927092,22,6.011782
13.695716,11,6.042469
15.596669,20,6.09593
12.623345,17,6.142415
10.833488,9,6.166585
12.540209,12,6.199033
11.895184,9,6.2241
9.640377,16,6.266847
15.33574,12,6.301157
13.803379,19,6.351125
13.59405,12,6.384021
13.011732,12,6.415846
14.280568,11,6.445041
