#{"t_start": 1587174851.4245362, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
14.363189,14,0.696686
14.166188,15,0.750573
13.667151,13,0.798373
13.94889,17,0.856581
18.731421,17,0.907591
13.372633,17,0.967713
14.056863,17,1.021183
11.621984,11,1.050378
12.026331,8,1.071445
16.431324,16,1.113719
13.463663,12,1.146201
11.181945,10,1.17295
14.129397,15,1.213672
15.890266,13,1.249055
13.921811,12,1.28918
10.286474,8,1.317862
11.650765,8,1.339004
12.196302,13,1.373605
14.468384,16,1.416361
14.628807,20,1.469761
16.970902,19,1.519943
10.494503,8,1.541592
8.68886,16,1.583742
13.051078,15,1.623108
12.582099,9,1.647461
11.371828,8,1.668082
10.519442,9,1.692559
11.884294,8,1.713851
12.727582,18,1.762329
13.022218,10,1.789474
8.595284,8,1.81039
18.872038,19,1.861059
10.471872,7,1.87996
13.386603,18,1.92797
11.317825,8,1.949577
12.406422,9,1.973701
12.869129,9,1.99814
13.112061,8,2.019271
13.409403,15,2.059014
10.139472,11,2.087521
12.015984,10,2.114755
14.221831,13,2.149352
13.493465,9,2.173591
12.396697,12,2.206056
12.45603,8,2.227594
22.013636,27,2.299558
14.164471,15,2.340211
11.475982,9,2.366276
11.330481,10,2.392994
13.227752,10,2.419972
12.438423,7,2.438618
12.969362,10,2.465244
14.071463,15,2.504758
12.658847,14,2.541928
14.260727,11,2.571382
10.384631,7,2.590398
11.879112,9,2.614705
9.632096,17,2.659504
18.2369,15,2.699378
10.659223,9,2.723809
17.140831,18,2.771931
12.17272,9,2.796093
14.584613,11,2.825654
12.470631,12,2.857415
13.650678,12,2.888891
12.002415,11,2.920242
13.063362,12,2.951565
11.959191,9,2.975348
12.297671,15,3.014821
14.509524,11,3.044094
11.929251,15,3.084259
11.209079,13,3.118193
15.69604,12,3.150218
14.775364,15,3.189728
10.833791,13,3.224705
10.963903,8,3.246253
12.938482,12,3.27834
12.377075,13,3.312732
9.849187,12,3.3445
14.369199,12,3.376495
13.048488,14,3.413604
14.347642,13,3.450194
14.103632,13,4.51309
12.972749,9,4.54124
13.259498,10,4.569646
17.455299,16,4.613742
18.269939,23,4.677684
9.309577,16,4.728835
8.873871,6,4.747838
12.012046,8,4.769977
8.68655,7,4.790016
12.945529,12,4.822714
11.916074,9,4.847531
13.58004,12,4.88111
12.083031,10,4.908493
10.97664,7,4.927987
10.023657,11,4.95765
20.503445,23,5.020047
12.414306,9,5.04419
12.43867,13,5.08007
14.487327,16,5.123484
14.851866,18,5.172578
13.331467,11,5.201838
15.094895,16,5.245327
11.525697,9,5.269733
11.654422,7,5.288339
13.237562,9,5.313316
11.838128,8,5.335095
10.876941,8,5.356796
13.491605,14,5.395212
13.798396,12,5.427445
14.50224,14,5.465116
14.7826,18,5.513389
15.907466,17,5.55883
13.592915,14,5.596851
13.825712,15,5.637118
16.888154,17,5.682577
16.537911,21,5.738822
17.855652,21,5.794997
11.113513,11,5.824529
12.959104,12,5.856643
15.974528,13,5.892021
13.616293,12,5.923594
10.076324,7,5.943023
14.642877,17,5.988907
13.034923,22,6.047526
14.64935,19,6.098487
13.65017,16,6.141286
13.449964,12,6.1728
10.827786,12,6.20499
13.363334,13,6.240897
11.845536,7,6.25952
14.437047,14,6.297392
10.489802,10,6.324186
14.514741,17,6.37015
17.156163,17,6.415346
15.339542,18,6.463326
11.29994,9,6.486922
11.002805,9,6.511066
13.556296,11,6.540512
12.572777,11,6.570306
14.5957,20,6.62374
16.029358,15,6.664377
11.282723,8,6.686392
23.797575,22,6.745471
17.192984,20,6.799649
11.100359,9,6.8245
14.363539,13,6.859239
13.582858,13,6.893725
15.165071,17,6.938388
15.773771,14,6.976273
14.456507,17,7.021465
13.243516,12,7.053917
10.580974,8,7.074747
15.742722,18,7.123772
19.856293,22,7.181465
13.411641,11,7.211199
12.09232,12,7.245137
11.80105,9,7.271354
11.959952,10,8.185672
16.099073,14,8.23014
9.694286,10,8.259007
10.891605,10,8.298872
13.798396,11,8.330068
17.748749,20,8.386416
11.991526,11,8.416962
14.265549,17,8.463839
10.891965,9,8.488695
8.959699,9,8.513874
12.316112,21,8.573141
17.443899,17,8.619746
10.624433,7,8.63951
12.870139,10,8.667784
9.306646,7,8.687628
15.296802,16,8.733624
11.551551,8,8.755922
12.309056,10,8.784412
16.089117,21,8.842237
9.263493,6,8.859425
8.494301,6,8.876519
12.609787,10,8.904412
10.464979,8,8.92748
11.536339,10,8.956052
16.367826,18,9.006411
12.681573,12,9.040835
11.674507,12,9.074195
11.77802,12,9.108604
13.157155,10,9.137067
12.562938,21,9.196751
14.606392,11,9.227566
12.216769,11,9.257981
20.279181,21,9.315807
10.147537,7,9.335709
11.415903,8,9.35839
12.797154,11,9.38996
10.081528,7,9.409526
14.290378,12,9.443825
9.824189,17,9.78202
12.370874,11,9.812426
16.243917,22,9.871846
14.289996,10,9.899813
15.864838,12,9.932221
11.644794,21,9.988613
12.903463,14,10.026615
16.215546,16,10.070535
9.64871,16,10.113627
16.290503,24,10.177691
15.278615,16,10.221691
11.204849,8,10.243305
10.991094,7,10.26232
11.191083,8,10.28444
15.593773,14,10.322374
15.239689,13,10.358538
20.507155,28,10.434724
12.996281,11,10.463408
17.764704,18,10.511129
24.032318,26,10.581163
13.038307,12,10.613841
12.046969,8,10.635501
12.897943,14,10.673507
14.210735,12,10.7063
10.863222,11,10.735735
18.668024,21,10.792548
13.49212,10,10.819742
17.919376,14,10.857927
17.605264,21,10.914169
13.096077,12,10.946897
12.715141,8,10.968094
9.955247,8,10.989439
15.709887,15,11.030048
21.227139,22,11.088417
10.337189,7,11.107837
12.972305,15,11.149632
12.251575,7,11.169307
13.556098,10,11.19932
12.637667,10,11.227607
16.011757,18,11.277707
10.797539,16,12.215383
12.52714,18,12.26641
18.874527,24,12.332314
15.720409,15,12.372878
17.65135,16,12.416792
13.698437,17,12.462386
16.386938,18,12.510741
13.595341,13,12.546016
15.619476,13,12.579945
13.441505,11,12.609137
13.333961,14,12.647058
14.58412,13,12.681471
13.33401,10,12.709051
12.46768,13,12.744231
15.803681,17,12.789408
10.399028,10,12.816671
13.628489,12,12.848235
11.341986,7,12.867922
12.700442,11,12.896755
11.801103,16,12.939284
11.502303,18,12.988014
13.625221,11,13.017292
18.938334,25,13.084885
14.139909,14,13.121921
12.44968,19,13.172389
14.627839,10,13.19977
13.677743,13,13.235334
13.615544,12,13.267349
15.938666,13,13.302311
11.269951,10,13.329123
17.14813,18,13.37832
12.728061,9,13.403221
11.855109,10,13.430292
11.724641,12,13.46228
16.856656,18,13.512411
9.825574,6,13.528624
12.196018,17,13.575485
13.430022,11,13.605319
8.365604,12,13.637771
12.933027,9,13.661719
18.168933,32,13.747618
9.25352,9,13.771939
12.432266,8,13.79321
12.088556,24,13.857902
8.658288,6,13.873991
12.060224,10,13.90117
10.457537,7,13.920295
13.281906,16,13.962927
13.773383,12,13.994728
18.078723,19,14.04591
13.972058,19,14.097365
17.550268,18,14.14569
14.21084,10,14.171938
13.368717,18,14.220327
11.622006,14,14.25868
14.772237,18,14.307701
14.010374,15,14.348808
14.023591,13,14.384622
17.815917,20,14.440124
25.092448,29,14.51779
14.767284,14,14.555784
21.119158,23,14.618077
11.452179,9,14.641728
19.973621,26,14.711775
15.504018,13,14.747178
12.632394,9,14.771008
10.201377,9,14.794973
13.118871,12,14.836545
12.76496,9,14.865781
14.358381,15,14.910839
12.665876,11,14.943473
13.992358,14,14.990597
23.656898,29,15.964532
16.777412,20,16.0181
14.039594,12,16.055491
11.123995,15,16.094605
14.669207,16,16.136803
13.248626,18,16.192063
19.483632,26,16.260883
21.187953,23,16.320854
17.458677,17,16.366102
20.519172,22,16.423929
18.421666,23,16.48511
19.636665,22,16.544905
10.865548,18,16.593465
9.964417,11,16.62374
13.733982,11,16.654028
13.058188,9,16.678645
12.665488,13,16.713228
13.046342,10,16.740744
16.438776,20,16.79545
17.633545,21,16.852042
19.71264,19,16.903849
17.03136,21,16.960063
15.915907,15,17.000637
11.822252,11,17.030323
13.335525,10,17.057979
22.003511,35,17.151011
17.622663,19,17.201628
12.327526,14,17.239064
22.25446,29,17.317374
25.032381,29,17.395255
12.562005,14,17.432964
13.170863,12,17.465795
14.504118,10,17.493031
16.146389,17,17.5396
11.479643,10,17.566589
14.896394,13,17.601432
23.657089,23,17.664088
11.435689,9,17.688341
11.595603,16,17.731094
21.695362,26,17.801955
18.205521,23,17.86394
15.477295,14,17.901659
13.439751,14,17.939505
11.283416,7,17.958378
17.191905,19,18.009763
13.4731,15,18.050306
15.109565,12,18.083068
17.790006,14,18.120878
14.717971,19,18.172354
16.588554,16,18.216691
17.137385,16,18.260609
15.907489,14,18.299421
13.444961,10,18.327417
12.572835,17,18.616524
15.580372,13,18.650769
13.837249,18,18.699368
18.229449,22,18.757143
16.656506,26,18.835901
17.009786,14,18.89156
11.33441,12,18.936534
10.948394,8,19.804782
17.117168,14,19.847236
11.235502,10,19.880801
15.309919,12,19.918058
14.524317,12,19.955771
15.245161,24,20.03193
18.863651,21,20.106322
21.232499,32,20.196373
12.864853,14,20.235574
11.974629,7,20.255768
17.629618,25,20.326151
12.015355,9,20.351592
16.888115,17,20.399003
13.644894,10,20.427059
16.849753,18,20.476565
21.4751,32,20.565201
15.981655,15,20.606308
16.999461,20,20.661281
16.847338,24,20.727823
17.169622,18,20.777552
13.097748,12,20.81112
15.040828,14,20.849786
23.708659,30,20.9326
25.35829,33,21.024185
16.711198,19,21.076753
18.449367,21,21.134733
14.480838,17,21.182247
12.759878,13,21.218173
17.196279,33,21.308887
17.263271,19,21.361014
23.459014,23,21.425371
13.396169,12,21.458132
17.1085,14,21.496368
19.263702,24,21.561329
19.916081,25,21.630071
14.183237,13,21.665974
14.662551,15,21.706908
12.728528,15,21.747432
23.695193,45,21.867979
12.505735,8,21.889626
20.229446,21,21.947722
20.993933,23,22.009582
14.427874,12,22.042741
10.844098,11,22.072393
15.948974,16,22.115576
18.716922,25,22.18299
15.365274,17,22.22924
20.297936,21,22.286031
15.879545,22,22.347286
17.821424,17,22.392277
16.387654,21,22.447928
25.650263,31,22.53591
24.88953,40,22.654094
13.419115,9,23.56362
18.869443,21,23.634846
13.030889,10,23.668682
15.721171,16,23.720057
14.993431,14,23.768131
14.14255,13,23.81024
11.625838,11,23.847591
17.79845,20,23.903985
19.346256,24,23.966418
18.96823,36,24.06019
16.141636,17,24.105077
17.246793,23,24.165711
15.956892,18,24.213809
16.413765,16,24.256112
20.967948,29,24.332967
9.332146,7,24.35115
14.025181,11,24.380445
21.70582,24,24.443384
15.199017,17,24.487986
24.043357,26,24.555667
8.750217,10,24.581698
17.362517,22,24.639796
18.540069,28,24.713145
13.528312,14,24.74992
15.236947,33,24.836617
19.434493,21,24.890934
12.513798,11,24.919804
23.184436,33,25.00738
14.049271,14,25.043931
19.365418,28,25.118115
13.904293,12,25.150079
12.158053,15,25.189659
26.425228,39,25.292461
19.132829,22,25.349252
13.436044,11,25.378792
18.86449,26,25.446692
24.380839,34,25.535044
19.09004,23,25.596491
12.751198,9,25.620915
12.128973,9,25.645158
14.877087,21,25.69945
13.16687,13,25.73422
12.058765,9,25.758542
16.234958,18,25.806169
15.389722,13,25.840709
19.18879,26,25.909738
24.731945,35,26.001553
12.460948,10,26.027372
15.335129,14,26.063851
28.380045,34,26.153308
15.194276,12,26.185649
15.054132,11,26.221833
12.472181,13,26.259693
19.461865,28,27.183255
20.154113,19,27.24516
13.134648,14,27.289907
21.429282,25,27.364473
14.24526,12,27.397706
17.035248,20,27.455112
16.094237,29,27.552478
18.685957,24,27.634122
16.10024,17,27.685177
20.111608,21,27.759476
18.58114,23,27.823478
18.93665,20,27.879047
17.4064,27,27.953958
22.39586,24,28.024662
20.265078,20,28.077251
25.26068,32,28.160421
12.122827,12,28.561869
18.867728,23,28.622213
17.086896,22,28.680614
16.10834,22,28.739996
30.187557,41,28.849145
12.852794,10,28.876245
19.967797,26,28.94542
26.886168,32,29.029584
36.175491,52,29.167779
21.172973,21,29.223401
23.059039,30,29.301967
24.493314,30,29.380315
18.292391,20,29.433698
14.582233,14,29.470493
13.912434,11,29.499926
19.029591,55,29.64591
16.044432,14,29.682703
27.451545,36,29.783337
16.099573,19,29.83344
13.996342,12,29.864899
13.809218,17,29.909656
18.113566,16,29.951838
19.210084,42,30.061906
14.67094,14,30.098846
18.225953,21,30.154779
24.741191,35,30.247761
19.647691,25,30.319175
16.858192,22,30.386385
20.988889,21,31.291872
26.894048,28,31.375082
20.072473,42,31.498704
33.354297,42,31.617305
17.723863,16,31.667179
21.087583,21,31.727557
17.340158,25,31.804431
47.763796,67,31.994973
23.871285,23,32.060004
24.662745,27,32.143436
15.542697,27,32.218276
22.105765,25,32.287668
22.993164,30,32.370837
35.390157,64,32.548204
13.177119,13,32.583469
38.30657,39,32.691494
44.352516,53,32.836161
17.002106,21,32.899083
37.610542,54,33.082149
24.23581,38,33.19768
22.370938,22,33.2658
19.825666,19,33.321106
21.052592,26,33.395362
13.233923,13,33.443087
17.484459,22,33.508437
20.985285,25,33.604893
27.748433,45,33.746299
11.321611,13,33.782972
30.21906,49,33.918128
27.431344,35,34.014291
23.226301,25,34.083679
27.825871,36,34.181164
17.141601,14,34.219615
31.062944,42,35.183844
18.51181,18,35.231968
23.800972,27,35.306731
21.807664,42,35.438374
40.668714,55,35.614565
25.738787,45,35.763811
28.815696,36,35.885685
12.818882,8,35.916079
50.147505,56,36.084811
26.42389,40,36.199043
14.533845,21,36.254958
21.534144,25,36.32283
23.928837,28,36.398776
26.255686,33,36.489362
27.495419,39,36.595665
21.219063,59,36.754432
17.213038,22,36.812552
15.223263,20,36.864394
27.763143,40,36.990324
25.623962,32,37.084821
22.001958,30,37.177984
15.148349,16,37.229191
40.104386,68,37.947617
18.914934,23,38.008786
18.769451,19,38.059207
15.83068,12,38.091465
15.020842,14,38.128846
25.606467,33,38.217768
18.697701,22,38.276487
40.592117,51,38.412832
24.744514,40,38.519203
26.273462,34,39.466288
23.013438,47,39.611522
45.929974,50,39.756738
27.55563,37,39.863841
18.382686,23,39.933757
21.948678,32,40.029516
15.684291,23,40.094325
35.266481,76,40.312365
21.337884,33,40.406971
25.138227,47,40.54684
56.390258,58,40.698502
19.07629,26,40.767044
22.783076,32,40.852138
21.497545,28,40.927537
18.284839,15,40.968227
34.6527,50,41.10226
30.474112,43,41.21692
28.721947,39,41.321088
33.569233,68,41.502064
13.34681,11,41.538438
35.831191,47,41.674214
23.625689,31,41.767269
36.892707,44,41.892053
35.090489,44,42.016899
19.328283,25,42.088512
21.424172,54,42.256508
19.991309,37,43.194361
32.960214,49,43.328033
34.589645,52,43.471228
25.945203,33,43.570257
34.220694,39,43.69414
27.331332,39,43.822486
34.046158,59,43.999096
36.091146,49,44.170728
21.692825,22,44.238394
21.853809,30,44.322581
19.508184,29,44.422175
24.102723,34,44.517135
32.182884,43,44.631801
27.431179,42,44.743217
35.370757,44,44.86251
23.290724,30,44.943846
51.167076,75,45.150324
35.791673,39,45.257582
29.231106,35,45.354262
40.343937,68,45.5649
27.40937,32,45.665653
15.847266,14,45.715541
37.775511,43,45.857035
27.67203,41,45.973994
45.839371,58,46.136041
57.406327,59,47.142615
39.015245,54,47.28704
47.658177,68,47.46962
20.161582,18,47.5283
49.805225,89,48.451205
44.027894,59,48.606703
59.266952,60,48.764163
40.810483,52,48.901122
64.785047,84,49.122491
67.808432,76,49.332747
46.41177,96,49.641262
35.596514,43,49.78127
60.468259,71,50.005375
24.226945,47,50.144971
34.745526,99,50.40464
67.628244,68,51.430682
53.182897,76,51.654605
64.220004,90,51.932938
