#{"t_start": 1587174851.422269, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
14.758811,13,0.694022
15.591978,14,0.741324
11.899493,12,0.787569
10.700965,8,0.816998
14.650297,16,0.868552
11.260288,7,0.8901
16.537844,15,0.945482
12.66667,9,0.97192
9.543579,7,0.997286
15.472584,18,1.045724
20.699377,30,1.126342
17.41529,23,1.187551
13.971482,23,1.249857
12.055056,10,1.284906
11.909471,8,1.313484
11.519788,10,1.339811
13.195059,13,1.374365
13.737076,8,1.39552
13.503789,15,1.436173
13.430361,11,1.465193
11.392462,9,1.489615
15.970218,20,1.542404
12.084319,8,1.563998
10.98861,7,1.582039
15.448159,19,1.632321
11.526818,11,1.661437
19.361735,24,1.726019
12.423399,10,1.752714
14.021524,13,1.787737
13.684546,16,1.830276
14.47991,11,1.859275
13.048155,13,1.894908
15.598881,17,1.940294
18.597127,19,1.991006
11.972613,8,2.012339
10.785257,13,2.046799
12.910309,21,2.102471
14.414094,12,2.134626
13.216616,11,2.164139
19.004609,20,2.218183
12.520756,11,2.24781
14.140747,16,2.290139
12.504412,10,2.317028
11.95036,10,2.34445
11.581724,9,2.370421
12.844555,10,2.397566
14.618035,17,2.442738
14.66349,12,2.474428
11.55631,12,2.505589
14.249988,12,2.537627
15.224511,16,2.580668
11.335719,7,2.599952
12.463379,10,2.626577
9.338689,16,2.6686
11.058803,7,2.687378
16.186957,18,2.735637
11.206006,10,2.762281
11.57824,8,2.783521
15.191444,16,2.826453
13.961587,13,2.86155
7.972154,12,2.892981
19.11168,28,2.968191
14.977036,17,3.013051
16.598269,17,3.058884
9.446778,8,3.080106
16.696951,19,3.129974
13.345512,10,3.15694
15.258341,18,3.204523
10.086782,14,3.241537
14.55512,13,3.27665
14.414718,11,3.305936
13.130957,14,3.342501
9.63775,7,3.361762
14.303442,13,3.395948
10.34376,19,3.448394
12.335472,8,3.469525
16.234521,19,4.554104
16.886462,17,4.600579
10.976026,14,4.63931
11.285608,7,4.65902
10.565757,8,4.681976
13.381244,11,4.712155
12.131707,9,4.745878
14.476148,12,4.779471
15.303188,11,4.810366
8.993297,6,4.826961
12.736772,13,4.86291
14.106591,13,4.898209
12.370322,8,4.920564
23.806765,24,4.985867
9.740623,9,5.010293
16.524672,16,5.054368
13.654693,15,5.094729
15.43545,12,5.127604
17.369844,21,5.184487
14.681618,12,5.216551
13.680053,10,5.243582
12.659011,10,5.270573
14.132852,10,5.298043
9.098097,12,5.330739
14.701037,17,5.377462
10.3645,7,5.396042
13.787671,17,5.442377
14.693879,13,5.477452
12.601562,12,5.508727
15.710946,15,5.549473
13.67424,11,5.579134
14.440522,12,5.611774
19.146427,24,5.67486
11.080432,9,5.699587
11.906835,9,5.723987
12.971819,17,5.769548
11.43377,8,5.790714
16.009052,18,5.839431
12.6403,10,5.866031
15.720445,15,5.906408
10.986835,8,5.928145
12.176898,10,5.955009
11.214662,16,5.998095
13.514845,19,6.048382
12.342097,9,6.072681
12.705299,13,6.108068
11.750323,11,6.137149
9.061507,9,6.160921
9.784682,8,6.1824
13.376396,10,6.209527
11.72352,9,6.233962
14.129071,14,6.271733
12.984423,12,6.304509
13.584039,14,6.341626
13.289988,9,6.365905
15.096561,17,6.410928
11.035276,10,6.438588
21.212364,22,6.496193
14.908955,18,6.54465
12.653617,9,6.568198
13.620454,13,6.603363
14.235976,20,6.657503
10.634952,9,6.681724
16.702911,17,6.728112
12.889564,10,6.754941
11.372946,7,6.77407
13.449211,11,6.803775
13.399562,18,6.852014
10.753691,12,6.883954
13.262466,13,6.918461
13.919729,13,6.953087
12.185616,16,6.9957
13.300746,11,7.02566
15.930712,23,7.087385
13.16278,9,7.111411
13.59273,17,7.15605
11.076808,11,7.185626
13.709077,10,7.212017
9.605672,6,7.22894
13.754909,13,7.266154
12.853043,12,8.186532
16.269997,19,8.245895
11.369664,8,8.269078
15.098316,13,8.317188
16.519017,19,8.370663
16.257644,16,8.414904
10.705601,10,8.443281
14.060205,11,8.473504
16.438249,18,8.523405
