#{"t_start": 1587174851.4233994, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
11.395292,11,0.685469
13.542324,24,0.775407
13.276215,13,0.823232
16.403443,17,0.875015
14.289748,13,0.917886
17.372898,18,0.97851
11.190526,11,1.013747
14.909386,12,1.045537
13.583143,13,1.080134
14.998014,16,1.1224
10.548209,7,1.141201
6.840286,9,1.165562
14.604685,11,1.195335
13.257165,12,1.22793
10.823502,10,1.255276
17.707671,20,1.323904
15.046105,11,1.352476
8.136825,9,1.377091
14.070552,18,1.4248
13.411061,14,1.461672
12.513538,8,1.483496
13.608381,10,1.510007
10.524715,7,1.528803
14.351246,12,1.560405
13.103169,11,1.589713
14.306984,17,1.63461
13.244702,15,1.674068
9.970561,6,1.69018
13.460175,11,1.720016
13.006834,8,1.741673
12.205743,12,1.773576
14.175303,10,1.80052
13.694377,13,1.835183
14.599033,13,1.870034
15.365217,15,1.910079
12.532577,10,1.936826
14.700502,11,1.966165
13.148631,9,1.990788
14.392575,12,2.023193
13.00107,12,2.054184
12.582491,15,2.093922
10.38489,7,2.112406
12.29322,10,2.139569
10.896824,8,2.160668
12.39023,11,2.190201
11.319354,9,2.214696
12.107583,10,2.241726
12.546905,11,2.270939
12.86749,13,2.306027
12.344927,8,2.327084
15.081308,12,2.361031
13.582657,8,2.382748
9.730173,8,2.404953
11.847196,12,2.436316
11.407459,11,2.465465
6.705286,13,2.499254
15.154633,12,2.531593
13.137549,12,2.564014
11.215899,10,2.590601
11.049922,18,2.639611
26.054667,29,2.715827
16.480741,28,2.790891
10.585547,8,2.812498
11.489935,8,2.834681
20.114751,22,2.892761
13.489983,10,2.920463
18.242199,19,2.970509
11.411634,18,3.018329
11.453211,12,3.050439
12.619764,14,3.087836
13.099134,20,3.140188
13.223072,8,3.161728
13.350635,14,3.19824
16.782575,18,3.246448
10.965951,9,3.27052
13.680364,12,3.302419
16.601986,15,3.342279
11.791564,10,3.369172
9.82258,12,3.400805
12.316318,9,3.424994
15.583923,18,3.474265
14.309058,11,4.535988
10.228747,9,4.56177
14.80835,19,4.613875
9.70889,9,4.639176
13.018774,13,4.675154
13.808666,11,4.705887
14.636686,16,4.759573
11.257367,8,4.781956
19.708613,18,4.83199
9.670014,8,4.853708
10.658605,8,4.876132
11.005192,8,4.897997
14.189409,11,4.928174
13.08786,9,4.952607
14.814059,15,4.993339
9.324529,8,5.015223
13.147979,12,5.04782
12.482965,10,5.075048
10.811647,7,5.094505
12.974538,9,5.118638
12.970093,11,5.148542
10.679505,7,5.16761
15.5605,23,5.229284
11.716568,9,5.254146
17.162041,14,5.291888
9.053035,6,5.30838
13.315995,12,5.341238
14.286945,11,5.371336
15.226581,17,5.416961
11.919469,10,5.444756
22.494125,25,5.511088
12.994181,13,5.545915
11.262539,7,5.564912
10.755121,8,5.586725
9.993975,10,5.61406
18.157692,23,5.674647
12.915744,17,5.720418
13.536719,11,5.750594
11.426239,19,5.801062
14.397561,12,5.833291
13.016518,20,5.886653
15.450284,17,5.933111
13.045667,9,5.95727
12.290835,8,5.978759
19.989116,25,6.044816
15.947456,14,6.082636
10.135839,6,6.098671
13.111754,11,6.128213
16.482933,22,6.187267
11.358073,8,6.209291
14.155263,13,6.244458
11.823535,11,6.274017
12.718078,10,6.300959
13.672355,10,6.327697
12.855205,11,6.357298
13.803445,10,6.383778
11.936046,8,6.404849
11.571877,9,6.429382
15.581499,18,6.477071
9.860846,7,6.495991
13.402682,13,6.530187
14.434414,14,6.567999
17.95204,19,6.61881
11.944102,11,6.648403
10.845064,9,6.6731
10.596784,9,6.697813
13.275296,10,6.724531
12.063277,15,6.765422
19.65841,19,6.816515
13.146751,10,6.843262
17.827018,26,6.912381
15.636916,15,6.952863
18.880019,23,7.014054
20.61776,24,7.078742
13.966694,14,7.116313
14.199811,17,7.160926
14.905574,11,7.190556
15.546189,12,7.22276
12.114497,16,7.268834
14.812207,12,8.189126
12.723158,11,8.222221
14.410494,13,8.262804
11.596486,12,8.308089
11.776325,9,8.333722
10.686418,9,8.358854
14.066382,10,8.386602
16.063751,15,8.429021
20.953163,27,8.503205
15.195897,14,8.542677
13.151464,11,8.573281
10.57042,9,8.598191
13.830505,10,8.626456
19.151946,20,8.682426
12.83572,9,8.708416
9.340108,7,8.72855
14.68578,11,8.759616
18.698748,20,8.815212
14.533891,15,8.856847
13.864233,11,8.888333
12.717835,11,8.919213
14.456674,12,8.953304
14.120245,10,8.982
17.515991,19,9.03524
12.771301,9,9.060824
13.442391,11,9.09179
12.339777,10,9.12044
14.264334,14,9.160017
16.713189,13,9.196925
11.086623,9,9.221904
20.420651,22,9.283353
10.710815,15,9.324752
12.666026,10,9.353158
15.97083,13,9.390098
15.927655,16,9.435484
11.325723,8,9.45876
13.928169,13,9.78559
12.529445,15,9.826468
10.761591,10,9.853515
17.255884,28,9.929783
13.386662,11,9.95992
17.190252,22,10.019037
11.305989,9,10.04332
9.915499,9,10.068124
22.7005,32,10.154406
13.778813,11,10.183754
13.363719,12,10.216609
16.79796,14,10.254753
10.585256,16,10.298998
14.63198,16,10.342497
11.640926,8,10.364772
23.110403,23,10.426944
10.76494,8,10.448342
14.79869,12,10.479658
16.997639,21,10.536097
12.915164,13,10.570816
10.301386,8,10.592945
18.737572,20,10.647098
14.791724,14,10.684858
14.597452,21,10.742299
12.021577,8,10.764118
11.311872,13,10.79863
17.446831,21,10.855552
11.224654,9,10.879486
12.729136,10,10.906554
12.879983,11,10.93675
14.710807,13,10.971606
11.327168,11,11.001209
15.223647,13,11.036726
15.990506,15,11.075926
18.654194,22,11.13621
17.092291,20,11.193247
12.620991,10,11.222122
11.095469,9,11.247852
11.872643,10,11.275292
12.217931,11,11.309043
9.927732,8,12.221803
19.702503,31,12.308014
26.915774,29,12.387098
14.307034,13,12.423078
11.265695,10,12.449651
14.162079,20,12.502808
10.976925,7,12.522033
12.096032,8,12.543265
21.145899,26,12.612746
12.386221,11,12.642197
10.173919,10,12.668551
13.395493,12,12.700977
14.846527,13,12.735936
13.432945,9,12.760933
14.560575,12,12.793034
20.536383,24,12.857048
12.728072,9,12.881634
11.831589,8,12.902806
16.274391,21,12.958881
12.311847,10,12.985768
10.886366,9,13.009804
16.347976,13,13.044424
12.642226,13,13.079516
17.203673,15,13.119617
17.168689,21,13.175968
10.25346,6,13.191882
15.879017,20,13.246675
15.791851,15,13.286688
16.21139,19,13.338748
10.913146,13,13.373289
18.794994,23,13.43643
13.187535,11,13.465837
15.699089,17,13.512568
13.146635,9,13.537643
13.320925,10,13.565449
14.522076,11,13.595205
18.604214,18,13.643922
19.167741,20,13.696687
17.09977,21,13.753704
10.952604,17,13.799375
14.717041,17,13.844955
15.190248,13,13.880546
16.41601,19,13.931716
21.001745,27,14.003611
13.172262,11,14.032936
16.811881,14,14.070682
10.483292,6,14.087313
16.925891,18,14.135605
15.747804,20,14.188851
12.5826,8,14.209802
15.856131,14,14.24839
15.342595,13,14.283739
9.402794,9,14.307961
16.624134,15,14.348936
13.451952,11,14.379457
14.317898,16,14.424172
11.87268,9,14.448915
14.649307,13,14.483333
10.806695,8,14.504582
11.976733,12,14.537261
11.679182,8,14.559383
11.326827,7,14.578221
14.974566,13,14.612698
17.613866,20,14.667031
13.120448,11,14.696237
13.53337,11,14.725912
11.522063,7,14.74479
12.028479,9,14.768614
17.171259,14,14.807352
12.583401,13,14.853751
13.763223,13,14.893967
41.833672,50,15.933104
15.778711,14,15.975758
20.612419,23,16.037498
19.234734,21,16.09822
11.479581,10,16.12429
12.849395,10,16.155775
14.970596,11,16.187069
11.711554,9,16.210732
17.303132,19,16.261114
13.708283,15,16.300406
12.137693,9,16.324421
16.88488,19,16.374591
15.031931,12,16.406202
24.139817,31,16.488704
11.212024,11,16.518467
14.79266,14,16.556569
13.596086,12,16.588454
13.034942,11,16.61797
17.551132,20,16.673546
24.783111,29,16.752096
13.593817,12,16.785211
10.02172,7,16.804296
16.19155,18,16.852256
16.086409,17,16.89876
13.131526,12,16.931234
15.489894,18,16.979185
11.917054,8,17.000844
11.953832,19,17.0529
16.258021,21,17.109095
9.819826,11,17.138196
12.241436,11,17.167593
14.885469,13,17.201835
19.108043,21,17.259309
13.774775,22,17.317596
26.110944,33,17.406416
15.22843,18,17.455728
10.952115,8,17.477248
15.060658,15,17.518352
17.224717,25,17.585916
11.654371,8,17.607699
14.777273,15,17.648446
15.683004,14,17.685976
17.678105,20,17.740248
13.139076,13,17.775364
20.470195,34,17.867532
15.154756,16,17.910583
18.240794,19,17.962385
18.062421,25,18.029154
11.862057,9,18.053982
19.7256,29,18.132302
13.959922,11,18.162214
13.110148,14,18.200498
21.503194,32,18.288164
19.713424,19,18.341966
17.216157,27,18.657293
15.053631,15,18.697007
25.913288,35,18.790395
10.151904,9,18.821652
13.822158,14,18.8701
11.425564,9,18.906279
22.673308,25,19.831677
13.507046,11,19.868899
15.372255,14,19.910094
18.754624,19,19.971177
13.407128,19,20.031921
16.748328,25,20.117778
18.789335,19,20.17162
15.133188,12,20.20551
16.675599,14,20.244914
18.977686,16,20.2904
17.703238,17,20.338274
18.889736,25,20.408058
13.383521,14,20.446824
13.45418,16,20.491383
29.390391,43,20.6099
12.532705,12,20.642656
13.255891,9,20.668008
14.148067,15,20.708932
15.91027,16,20.753101
18.782421,27,20.828464
17.709918,27,20.902664
10.979805,6,20.919116
11.359535,7,20.938929
17.672648,17,20.985885
12.040312,8,21.007815
20.826331,23,21.071618
18.28036,23,21.134891
17.031274,21,21.193896
16.796772,17,21.240762
18.776849,15,21.282593
19.808693,21,21.339724
13.788384,11,21.370334
16.230122,15,21.411527
16.997069,18,21.461801
15.469575,17,21.507722
10.407713,7,21.526446
14.798012,15,21.567628
12.6479,10,21.595186
15.915499,15,21.636286
16.309539,17,21.682661
17.305163,16,21.726458
23.990982,26,21.796285
20.804368,25,21.862921
16.856274,16,21.906999
