#{"t_start": 1587172621.9849856, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.256755,9,0.533226
11.355506,7,0.552343
12.00472,10,0.584802
11.553658,8,0.699978
11.735719,12,0.750342
13.325634,14,0.798455
12.129888,10,0.837846
17.155146,20,0.908614
13.419879,17,0.968924
15.181966,19,1.018725
15.70679,19,1.070796
17.091178,16,1.114179
14.241129,10,1.13973
12.176247,8,1.161564
11.347308,9,1.185595
10.242896,8,1.212675
14.370753,16,1.25449
14.017118,10,1.28142
16.882649,14,1.319775
19.586615,25,1.38483
10.977141,7,1.403442
10.340436,11,1.432268
13.94198,15,1.479065
11.09308,13,1.512776
15.133441,13,1.546722
17.039524,21,1.604941
12.066735,11,1.633335
11.292714,8,1.65637
12.27387,12,1.687641
12.684994,16,1.73189
12.327279,9,1.755893
12.381962,11,1.785262
15.29227,13,1.821012
14.099249,18,1.867393
15.277605,17,1.91408
8.594594,11,1.943162
13.120333,13,1.978152
12.982036,10,2.007979
10.664766,9,2.032908
16.769081,20,2.093918
9.724201,8,2.114778
15.480903,14,2.151383
15.142719,14,2.194968
14.190187,14,2.233055
17.187549,24,2.301639
14.986055,15,2.342872
11.663465,9,2.369572
13.125419,9,2.395088
13.556641,11,2.425453
12.038115,8,2.459334
11.133456,9,2.482829
17.548811,19,2.534061
13.347222,17,2.579419
12.529429,12,2.611259
11.352695,10,2.638552
11.581053,13,2.672652
12.285888,16,2.714732
17.639957,21,2.768997
9.969724,9,2.794317
12.473618,12,2.825026
10.12436,7,2.843471
14.239873,16,2.886868
13.956413,15,2.925839
20.615559,35,3.0187
17.350768,19,3.14008
12.800157,13,3.175389
18.316988,25,3.242875
16.611452,20,3.296896
11.07909,8,3.318592
10.33436,11,3.347481
11.375024,10,3.375234
14.635321,15,3.41462
14.870646,14,3.451586
13.577321,13,3.486883
11.995268,9,3.510501
12.849454,12,3.544218
9.856832,9,3.575119
12.468236,12,3.607119
14.725436,16,3.6509
12.020606,12,3.681854
10.871326,10,3.708131
9.26317,13,3.742528
12.391236,17,3.786811
10.085475,17,3.830421
11.948414,8,3.850628
12.079297,13,3.883924
11.653507,10,3.911016
13.898819,11,3.939807
12.124957,9,3.962732
13.8594,11,3.994184
11.22874,7,4.01307
10.46713,9,4.038121
13.085248,12,4.079929
12.239924,10,4.108199
15.251459,12,4.142898
12.250113,9,4.178037
