#{"t_start": 1587172621.9824886, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
14.229094,15,0.588377
11.3157,7,0.617204
11.694257,10,0.656603
9.327714,13,0.80046
8.248078,14,0.846676
11.465377,10,0.874869
12.711717,12,0.914833
12.529747,12,0.956367
18.065626,23,1.034437
8.494262,11,1.063557
11.743152,9,1.088777
12.035838,13,1.123288
9.028395,7,1.142487
11.221588,10,1.170664
12.739825,9,1.195349
10.396708,7,1.214314
12.777545,12,1.249516
15.133981,19,1.30358
12.472906,13,1.342757
12.568766,11,1.371777
12.195792,16,1.41374
10.274754,8,1.436301
14.478935,16,1.478331
17.987082,19,1.538917
16.12382,20,1.590312
11.848621,10,1.617891
11.10489,11,1.646439
13.889519,13,1.680586
14.978388,20,1.734488
14.017258,12,1.767575
9.010821,7,1.787666
16.174972,13,1.822919
21.011868,22,1.888425
11.633739,7,1.907657
10.039982,8,1.92902
10.857839,12,1.964483
12.843697,13,2.000854
16.860014,19,2.051631
14.250218,14,2.088839
13.707539,15,2.128223
14.516393,20,2.182251
10.762824,8,2.203936
10.778627,13,2.239115
13.197874,16,2.281908
18.42468,21,2.337592
14.930744,15,2.377357
11.588471,14,2.427366
12.159115,12,2.458828
11.81071,8,2.479618
13.059713,12,2.515318
18.704796,17,2.55941
11.953547,9,2.583631
12.484927,14,2.620678
16.487484,19,2.681127
13.836098,11,2.710326
12.718329,10,2.736441
9.072027,16,2.779333
12.005828,13,2.813002
14.188285,10,2.840104
13.802237,16,2.882093
13.803544,11,2.911309
15.354381,11,2.946251
17.88026,19,3.065019
11.967249,11,3.1023
12.069872,11,3.130071
16.133375,15,3.168534
10.770922,15,3.209789
15.454107,22,3.267744
12.429894,10,3.294848
18.092274,20,3.34843
16.173193,17,3.393975
16.763656,12,3.426078
20.378997,20,3.478877
9.465488,7,3.496994
13.251743,10,3.524986
15.976291,14,3.561641
12.771113,11,3.591224
19.280432,23,3.65392
10.937298,9,3.677735
12.546117,12,3.71112
10.735795,13,3.744902
13.430267,16,3.788058
11.975452,11,3.817044
13.820405,14,3.853493
11.485256,8,3.876766
13.505641,20,3.929538
10.602192,7,3.949206
15.866889,21,4.00766
16.360863,21,4.066492
19.825475,22,4.127865
16.572252,18,4.177031
10.420985,8,4.202533
18.358312,24,4.279649
12.327116,11,4.307949
19.932511,20,4.362867
9.584381,17,4.408767
14.563534,13,4.443104
13.048778,8,4.464429
14.078562,10,4.49196
12.085723,11,4.52178
14.530151,20,4.575299
12.518834,11,4.604798
11.130903,7,4.623393
13.336419,18,4.67386
17.757318,18,4.7223
12.356712,10,4.751204
17.393538,20,4.804574
28.977229,33,4.893422
9.388194,12,4.926266
11.946021,10,4.952737
10.958624,16,4.995032
10.923151,9,5.020496
12.497821,8,5.042046
17.049687,18,5.091064
11.864913,11,5.120586
20.841446,24,5.186405
12.328636,15,5.23195
11.789098,9,5.256513
11.477471,8,5.279932
11.717823,8,5.301506
10.800753,7,5.320141
11.57211,8,5.341116
9.805115,13,5.376743
10.738588,8,5.397856
12.385343,10,5.424782
14.22984,11,5.455524
13.611586,12,5.486657
15.68443,18,5.535264
12.404188,8,5.556855
15.085832,13,5.600079
16.520986,17,5.646946
13.240564,9,5.671511
11.661522,11,5.702297
11.256572,8,5.726996
15.817985,14,5.771487
26.357029,32,5.863699
11.220539,8,5.885666
12.871311,8,5.908679
12.401532,8,5.929407
13.794115,19,5.979251
13.639564,14,6.018991
11.838151,9,6.043844
12.463533,14,6.083068
15.924118,17,6.129615
16.333061,20,6.184489
10.83853,8,6.207096
15.129013,20,6.262527
13.724983,10,6.290235
10.798192,7,6.309926
10.911965,9,6.333946
10.234746,7,6.353896
9.538533,7,6.373734
11.758225,12,6.406341
11.827157,8,6.428476
11.530878,9,6.454822
15.633051,18,6.505065
16.169458,16,6.55034
17.344256,18,6.599726
13.831213,12,6.641469
14.194739,11,6.670574
16.19264,27,6.74349
12.343111,10,6.771197
16.122561,21,6.830615
11.05506,8,6.852672
10.428959,9,6.877828
17.491785,16,6.923637
12.074786,9,6.948009
12.847146,14,6.99293
12.112119,9,7.0178
18.772539,17,7.063517
13.361446,10,7.091706
12.552968,11,7.120627
17.682261,20,7.174331
11.179442,13,7.208807
11.374317,8,7.230006
15.954887,15,7.269998
13.444919,11,7.29881
21.826485,24,7.36342
12.1456,9,7.387318
13.870535,16,7.431026
9.502943,7,7.449767
11.779084,9,7.474817
11.910105,9,7.500857
12.295013,7,7.520192
16.01606,19,7.571807
12.983313,10,7.604732
17.666254,16,7.648101
13.706104,10,7.676059
18.139149,24,7.941238
10.839596,7,7.960547
